onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
64.7095	1	Stimulus/S  1	1	647095	647103	0	0	20	pips_40_500-8000.hdf5	both	none
65.7655	1	Stimulus/S  1	1	657655	657663	0	1	40	pips_40_500-8000.hdf5	both	none
66.8108	1	Stimulus/S  1	1	668108	668116	0	2	60	pips_40_500-8000.hdf5	both	none
67.8775	1	Stimulus/S  1	1	678775	678783	0	3	70	pips_40_500-8000.hdf5	both	none
68.9335	1	Stimulus/S  1	1	689335	689343	0	4	50	pips_40_500-8000.hdf5	both	none
69.9788	1	Stimulus/S  1	1	699788	699796	0	5	30	pips_40_500-8000.hdf5	both	none
71.0349	1	Stimulus/S  1	1	710349	710357	1	0	20	pips_40_500-8000.hdf5	both	none
72.0802	1	Stimulus/S  1	1	720802	720810	1	1	40	pips_40_500-8000.hdf5	both	none
73.1255	1	Stimulus/S  1	1	731255	731263	1	2	60	pips_40_500-8000.hdf5	both	none
74.1922	1	Stimulus/S  1	1	741922	741930	1	3	70	pips_40_500-8000.hdf5	both	none
75.2482	1	Stimulus/S  1	1	752482	752490	1	4	50	pips_40_500-8000.hdf5	both	none
76.3149	1	Stimulus/S  1	1	763149	763157	1	5	30	pips_40_500-8000.hdf5	both	none
77.3603	1	Stimulus/S  1	1	773603	773611	2	0	20	pips_40_500-8000.hdf5	both	none
78.4163	1	Stimulus/S  1	1	784163	784171	2	1	40	pips_40_500-8000.hdf5	both	none
79.4829	1	Stimulus/S  1	1	794829	794837	2	2	60	pips_40_500-8000.hdf5	both	none
80.5283	1	Stimulus/S  1	1	805283	805291	2	3	70	pips_40_500-8000.hdf5	both	none
81.595	1	Stimulus/S  1	1	815950	815958	2	4	50	pips_40_500-8000.hdf5	both	none
82.651	1	Stimulus/S  1	1	826510	826518	2	5	30	pips_40_500-8000.hdf5	both	none
83.7177	1	Stimulus/S  1	1	837177	837185	3	0	20	pips_40_500-8000.hdf5	both	none
84.7843	1	Stimulus/S  1	1	847843	847851	3	1	40	pips_40_500-8000.hdf5	both	none
85.8297	1	Stimulus/S  1	1	858297	858305	3	2	60	pips_40_500-8000.hdf5	both	none
86.875	1	Stimulus/S  1	1	868750	868758	3	3	70	pips_40_500-8000.hdf5	both	none
87.931	1	Stimulus/S  1	1	879310	879318	3	4	50	pips_40_500-8000.hdf5	both	none
88.9764	1	Stimulus/S  1	1	889764	889772	3	5	30	pips_40_500-8000.hdf5	both	none
90.043	1	Stimulus/S  1	1	900430	900438	4	0	20	pips_40_500-8000.hdf5	both	none
91.0991	1	Stimulus/S  1	1	910991	910999	4	1	40	pips_40_500-8000.hdf5	both	none
92.1444	1	Stimulus/S  1	1	921444	921452	4	2	60	pips_40_500-8000.hdf5	both	none
93.2004	1	Stimulus/S  1	1	932004	932012	4	3	70	pips_40_500-8000.hdf5	both	none
94.2458	1	Stimulus/S  1	1	942458	942466	4	4	50	pips_40_500-8000.hdf5	both	none
95.3124	1	Stimulus/S  1	1	953124	953132	4	5	30	pips_40_500-8000.hdf5	both	none
96.3684	1	Stimulus/S  1	1	963684	963692	5	0	20	pips_40_500-8000.hdf5	both	none
97.4245	1	Stimulus/S  1	1	974245	974253	5	1	40	pips_40_500-8000.hdf5	both	none
98.4805	1	Stimulus/S  1	1	984805	984813	5	2	60	pips_40_500-8000.hdf5	both	none
99.5471	1	Stimulus/S  1	1	995471	995479	5	3	70	pips_40_500-8000.hdf5	both	none
100.6138	1	Stimulus/S  1	1	1006138	1006146	5	4	50	pips_40_500-8000.hdf5	both	none
101.6592	1	Stimulus/S  1	1	1016592	1016600	5	5	30	pips_40_500-8000.hdf5	both	none
102.7258	1	Stimulus/S  1	1	1027258	1027266	6	0	20	pips_40_500-8000.hdf5	both	none
103.7925	1	Stimulus/S  1	1	1037925	1037933	6	1	40	pips_40_500-8000.hdf5	both	none
104.8485	1	Stimulus/S  1	1	1048485	1048493	6	2	60	pips_40_500-8000.hdf5	both	none
105.8939	1	Stimulus/S  1	1	1058939	1058947	6	3	70	pips_40_500-8000.hdf5	both	none
106.9606	1	Stimulus/S  1	1	1069606	1069614	6	4	50	pips_40_500-8000.hdf5	both	none
108.0166	1	Stimulus/S  1	1	1080166	1080174	6	5	30	pips_40_500-8000.hdf5	both	none
109.0619	1	Stimulus/S  1	1	1090619	1090627	7	0	20	pips_40_500-8000.hdf5	both	none
110.1286	1	Stimulus/S  1	1	1101286	1101294	7	1	40	pips_40_500-8000.hdf5	both	none
111.1846	1	Stimulus/S  1	1	1111846	1111854	7	2	60	pips_40_500-8000.hdf5	both	none
112.2299	1	Stimulus/S  1	1	1122299	1122307	7	3	70	pips_40_500-8000.hdf5	both	none
113.2753	1	Stimulus/S  1	1	1132753	1132761	7	4	50	pips_40_500-8000.hdf5	both	none
114.342	1	Stimulus/S  1	1	1143420	1143428	7	5	30	pips_40_500-8000.hdf5	both	none
115.4086	1	Stimulus/S  1	1	1154086	1154094	8	0	20	pips_40_500-8000.hdf5	both	none
116.4646	1	Stimulus/S  1	1	1164646	1164654	8	1	40	pips_40_500-8000.hdf5	both	none
117.5313	1	Stimulus/S  1	1	1175313	1175321	8	2	60	pips_40_500-8000.hdf5	both	none
118.5767	1	Stimulus/S  1	1	1185767	1185775	8	3	70	pips_40_500-8000.hdf5	both	none
119.6433	1	Stimulus/S  1	1	1196433	1196441	8	4	50	pips_40_500-8000.hdf5	both	none
120.6994	1	Stimulus/S  1	1	1206994	1207002	8	5	30	pips_40_500-8000.hdf5	both	none
121.766	1	Stimulus/S  1	1	1217660	1217668	9	0	20	pips_40_500-8000.hdf5	both	none
122.8114	1	Stimulus/S  1	1	1228114	1228122	9	1	40	pips_40_500-8000.hdf5	both	none
123.8674	1	Stimulus/S  1	1	1238674	1238682	9	2	60	pips_40_500-8000.hdf5	both	none
124.9127	1	Stimulus/S  1	1	1249127	1249135	9	3	70	pips_40_500-8000.hdf5	both	none
125.9794	1	Stimulus/S  1	1	1259794	1259802	9	4	50	pips_40_500-8000.hdf5	both	none
127.0248	1	Stimulus/S  1	1	1270248	1270256	9	5	30	pips_40_500-8000.hdf5	both	none
128.0808	1	Stimulus/S  1	1	1280808	1280816	10	0	20	pips_40_500-8000.hdf5	both	none
129.1261	1	Stimulus/S  1	1	1291261	1291269	10	1	40	pips_40_500-8000.hdf5	both	none
130.1821	1	Stimulus/S  1	1	1301821	1301829	10	2	60	pips_40_500-8000.hdf5	both	none
131.2488	1	Stimulus/S  1	1	1312488	1312496	10	3	70	pips_40_500-8000.hdf5	both	none
132.2941	1	Stimulus/S  1	1	1322941	1322949	10	4	50	pips_40_500-8000.hdf5	both	none
133.3608	1	Stimulus/S  1	1	1333608	1333616	10	5	30	pips_40_500-8000.hdf5	both	none
134.4168	1	Stimulus/S  1	1	1344168	1344176	11	0	20	pips_40_500-8000.hdf5	both	none
135.4622	1	Stimulus/S  1	1	1354622	1354630	11	1	40	pips_40_500-8000.hdf5	both	none
136.5288	1	Stimulus/S  1	1	1365288	1365296	11	2	60	pips_40_500-8000.hdf5	both	none
137.5849	1	Stimulus/S  1	1	1375849	1375857	11	3	70	pips_40_500-8000.hdf5	both	none
138.6515	1	Stimulus/S  1	1	1386515	1386523	11	4	50	pips_40_500-8000.hdf5	both	none
139.6969	1	Stimulus/S  1	1	1396969	1396977	11	5	30	pips_40_500-8000.hdf5	both	none
140.7636	1	Stimulus/S  1	1	1407636	1407644	12	0	20	pips_40_500-8000.hdf5	both	none
141.8196	1	Stimulus/S  1	1	1418196	1418204	12	1	40	pips_40_500-8000.hdf5	both	none
142.8649	1	Stimulus/S  1	1	1428649	1428657	12	2	60	pips_40_500-8000.hdf5	both	none
143.9316	1	Stimulus/S  1	1	1439316	1439324	12	3	70	pips_40_500-8000.hdf5	both	none
144.9769	1	Stimulus/S  1	1	1449769	1449777	12	4	50	pips_40_500-8000.hdf5	both	none
146.0436	1	Stimulus/S  1	1	1460436	1460444	12	5	30	pips_40_500-8000.hdf5	both	none
147.0996	1	Stimulus/S  1	1	1470996	1471004	13	0	20	pips_40_500-8000.hdf5	both	none
148.1663	1	Stimulus/S  1	1	1481663	1481671	13	1	40	pips_40_500-8000.hdf5	both	none
149.233	1	Stimulus/S  1	1	1492330	1492338	13	2	60	pips_40_500-8000.hdf5	both	none
150.2783	1	Stimulus/S  1	1	1502783	1502791	13	3	70	pips_40_500-8000.hdf5	both	none
151.345	1	Stimulus/S  1	1	1513450	1513458	13	4	50	pips_40_500-8000.hdf5	both	none
152.401	1	Stimulus/S  1	1	1524010	1524018	13	5	30	pips_40_500-8000.hdf5	both	none
153.4677	1	Stimulus/S  1	1	1534677	1534685	14	0	20	pips_40_500-8000.hdf5	both	none
154.513	1	Stimulus/S  1	1	1545130	1545138	14	1	40	pips_40_500-8000.hdf5	both	none
155.569	1	Stimulus/S  1	1	1555690	1555698	14	2	60	pips_40_500-8000.hdf5	both	none
156.6357	1	Stimulus/S  1	1	1566357	1566365	14	3	70	pips_40_500-8000.hdf5	both	none
157.6811	1	Stimulus/S  1	1	1576811	1576819	14	4	50	pips_40_500-8000.hdf5	both	none
158.7477	1	Stimulus/S  1	1	1587477	1587485	14	5	30	pips_40_500-8000.hdf5	both	none
159.7931	1	Stimulus/S  1	1	1597931	1597939	15	0	20	pips_40_500-8000.hdf5	both	none
160.8491	1	Stimulus/S  1	1	1608491	1608499	15	1	40	pips_40_500-8000.hdf5	both	none
161.9158	1	Stimulus/S  1	1	1619158	1619166	15	2	60	pips_40_500-8000.hdf5	both	none
162.9611	1	Stimulus/S  1	1	1629611	1629619	15	3	70	pips_40_500-8000.hdf5	both	none
164.0278	1	Stimulus/S  1	1	1640278	1640286	15	4	50	pips_40_500-8000.hdf5	both	none
165.0945	1	Stimulus/S  1	1	1650945	1650953	15	5	30	pips_40_500-8000.hdf5	both	none
166.1505	1	Stimulus/S  1	1	1661505	1661513	16	0	20	pips_40_500-8000.hdf5	both	none
167.1958	1	Stimulus/S  1	1	1671958	1671966	16	1	40	pips_40_500-8000.hdf5	both	none
168.2518	1	Stimulus/S  1	1	1682518	1682526	16	2	60	pips_40_500-8000.hdf5	both	none
169.3185	1	Stimulus/S  1	1	1693185	1693193	16	3	70	pips_40_500-8000.hdf5	both	none
170.3638	1	Stimulus/S  1	1	1703638	1703646	16	4	50	pips_40_500-8000.hdf5	both	none
171.4092	1	Stimulus/S  1	1	1714092	1714100	16	5	30	pips_40_500-8000.hdf5	both	none
172.4652	1	Stimulus/S  1	1	1724652	1724660	17	0	20	pips_40_500-8000.hdf5	both	none
173.5105	1	Stimulus/S  1	1	1735105	1735113	17	1	40	pips_40_500-8000.hdf5	both	none
174.5666	1	Stimulus/S  1	1	1745666	1745674	17	2	60	pips_40_500-8000.hdf5	both	none
175.6332	1	Stimulus/S  1	1	1756332	1756340	17	3	70	pips_40_500-8000.hdf5	both	none
176.6999	1	Stimulus/S  1	1	1766999	1767007	17	4	50	pips_40_500-8000.hdf5	both	none
177.7453	1	Stimulus/S  1	1	1777453	1777461	17	5	30	pips_40_500-8000.hdf5	both	none
178.8119	1	Stimulus/S  1	1	1788119	1788127	18	0	20	pips_40_500-8000.hdf5	both	none
179.8679	1	Stimulus/S  1	1	1798679	1798687	18	1	40	pips_40_500-8000.hdf5	both	none
180.9133	1	Stimulus/S  1	1	1809133	1809141	18	2	60	pips_40_500-8000.hdf5	both	none
181.9693	1	Stimulus/S  1	1	1819693	1819701	18	3	70	pips_40_500-8000.hdf5	both	none
183.0146	1	Stimulus/S  1	1	1830146	1830154	18	4	50	pips_40_500-8000.hdf5	both	none
184.0813	1	Stimulus/S  1	1	1840813	1840821	18	5	30	pips_40_500-8000.hdf5	both	none
185.1267	1	Stimulus/S  1	1	1851267	1851275	19	0	20	pips_40_500-8000.hdf5	both	none
186.1933	1	Stimulus/S  1	1	1861933	1861941	19	1	40	pips_40_500-8000.hdf5	both	none
187.2494	1	Stimulus/S  1	1	1872494	1872502	19	2	60	pips_40_500-8000.hdf5	both	none
188.316	1	Stimulus/S  1	1	1883160	1883168	19	3	70	pips_40_500-8000.hdf5	both	none
189.3614	1	Stimulus/S  1	1	1893614	1893622	19	4	50	pips_40_500-8000.hdf5	both	none
190.428	1	Stimulus/S  1	1	1904280	1904288	19	5	30	pips_40_500-8000.hdf5	both	none
191.4947	1	Stimulus/S  1	1	1914947	1914955	20	0	20	pips_40_500-8000.hdf5	both	none
192.5507	1	Stimulus/S  1	1	1925507	1925515	20	1	40	pips_40_500-8000.hdf5	both	none
193.6174	1	Stimulus/S  1	1	1936174	1936182	20	2	60	pips_40_500-8000.hdf5	both	none
194.6628	1	Stimulus/S  1	1	1946628	1946636	20	3	70	pips_40_500-8000.hdf5	both	none
195.7188	1	Stimulus/S  1	1	1957188	1957196	20	4	50	pips_40_500-8000.hdf5	both	none
196.7641	1	Stimulus/S  1	1	1967641	1967649	20	5	30	pips_40_500-8000.hdf5	both	none
197.8308	1	Stimulus/S  1	1	1978308	1978316	21	0	20	pips_40_500-8000.hdf5	both	none
198.8868	1	Stimulus/S  1	1	1988868	1988876	21	1	40	pips_40_500-8000.hdf5	both	none
199.9535	1	Stimulus/S  1	1	1999535	1999543	21	2	60	pips_40_500-8000.hdf5	both	none
200.9988	1	Stimulus/S  1	1	2009988	2009996	21	3	70	pips_40_500-8000.hdf5	both	none
202.0442	1	Stimulus/S  1	1	2020442	2020450	21	4	50	pips_40_500-8000.hdf5	both	none
203.1108	1	Stimulus/S  1	1	2031108	2031116	21	5	30	pips_40_500-8000.hdf5	both	none
204.1669	1	Stimulus/S  1	1	2041669	2041677	22	0	20	pips_40_500-8000.hdf5	both	none
205.2335	1	Stimulus/S  1	1	2052335	2052343	22	1	40	pips_40_500-8000.hdf5	both	none
206.3002	1	Stimulus/S  1	1	2063002	2063010	22	2	60	pips_40_500-8000.hdf5	both	none
207.3455	1	Stimulus/S  1	1	2073455	2073463	22	3	70	pips_40_500-8000.hdf5	both	none
208.4122	1	Stimulus/S  1	1	2084122	2084130	22	4	50	pips_40_500-8000.hdf5	both	none
209.4682	1	Stimulus/S  1	1	2094682	2094690	22	5	30	pips_40_500-8000.hdf5	both	none
210.5349	1	Stimulus/S  1	1	2105349	2105357	23	0	20	pips_40_500-8000.hdf5	both	none
211.5803	1	Stimulus/S  1	1	2115803	2115811	23	1	40	pips_40_500-8000.hdf5	both	none
212.6469	1	Stimulus/S  1	1	2126469	2126477	23	2	60	pips_40_500-8000.hdf5	both	none
213.7136	1	Stimulus/S  1	1	2137136	2137144	23	3	70	pips_40_500-8000.hdf5	both	none
214.7696	1	Stimulus/S  1	1	2147696	2147704	23	4	50	pips_40_500-8000.hdf5	both	none
215.8363	1	Stimulus/S  1	1	2158363	2158371	23	5	30	pips_40_500-8000.hdf5	both	none
216.8816	1	Stimulus/S  1	1	2168816	2168824	24	0	20	pips_40_500-8000.hdf5	both	none
217.9483	1	Stimulus/S  1	1	2179483	2179491	24	1	40	pips_40_500-8000.hdf5	both	none
219.015	1	Stimulus/S  1	1	2190150	2190158	24	2	60	pips_40_500-8000.hdf5	both	none
220.0817	1	Stimulus/S  1	1	2200817	2200825	24	3	70	pips_40_500-8000.hdf5	both	none
221.127	1	Stimulus/S  1	1	2211270	2211278	24	4	50	pips_40_500-8000.hdf5	both	none
222.1937	1	Stimulus/S  1	1	2221937	2221945	24	5	30	pips_40_500-8000.hdf5	both	none
223.2604	1	Stimulus/S  1	1	2232604	2232612	25	0	20	pips_40_500-8000.hdf5	both	none
224.3164	1	Stimulus/S  1	1	2243164	2243172	25	1	40	pips_40_500-8000.hdf5	both	none
225.3831	1	Stimulus/S  1	1	2253831	2253839	25	2	60	pips_40_500-8000.hdf5	both	none
226.4284	1	Stimulus/S  1	1	2264284	2264292	25	3	70	pips_40_500-8000.hdf5	both	none
227.4951	1	Stimulus/S  1	1	2274951	2274959	25	4	50	pips_40_500-8000.hdf5	both	none
228.5511	1	Stimulus/S  1	1	2285511	2285519	25	5	30	pips_40_500-8000.hdf5	both	none
