onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
26.4332	1	Stimulus/S  1	1	264332	264340	0	0	20	pips_l40_r400_500-8000.hdf5	right	left
27.4999	1	Stimulus/S  1	1	274999	275007	0	1	40	pips_l40_r400_500-8000.hdf5	right	left
28.5453	1	Stimulus/S  1	1	285453	285461	0	2	60	pips_l40_r400_500-8000.hdf5	right	left
29.6119	1	Stimulus/S  1	1	296119	296127	0	3	70	pips_l40_r400_500-8000.hdf5	right	left
30.6786	1	Stimulus/S  1	1	306786	306794	0	4	50	pips_l40_r400_500-8000.hdf5	right	left
31.724	1	Stimulus/S  1	1	317240	317248	0	5	30	pips_l40_r400_500-8000.hdf5	right	left
32.8013	1	Stimulus/S  1	1	328013	328021	1	0	20	pips_l40_r400_500-8000.hdf5	right	left
33.8467	1	Stimulus/S  1	1	338467	338475	1	1	40	pips_l40_r400_500-8000.hdf5	right	left
34.9133	1	Stimulus/S  1	1	349133	349141	1	2	60	pips_l40_r400_500-8000.hdf5	right	left
35.98	1	Stimulus/S  1	1	359800	359808	1	3	70	pips_l40_r400_500-8000.hdf5	right	left
37.0253	1	Stimulus/S  1	1	370253	370261	1	4	50	pips_l40_r400_500-8000.hdf5	right	left
38.0814	1	Stimulus/S  1	1	380814	380822	1	5	30	pips_l40_r400_500-8000.hdf5	right	left
39.1267	1	Stimulus/S  1	1	391267	391275	2	0	20	pips_l40_r400_500-8000.hdf5	right	left
40.1934	1	Stimulus/S  1	1	401934	401942	2	1	40	pips_l40_r400_500-8000.hdf5	right	left
41.2494	1	Stimulus/S  1	1	412494	412502	2	2	60	pips_l40_r400_500-8000.hdf5	right	left
42.3161	1	Stimulus/S  1	1	423161	423169	2	3	70	pips_l40_r400_500-8000.hdf5	right	left
43.3614	1	Stimulus/S  1	1	433614	433622	2	4	50	pips_l40_r400_500-8000.hdf5	right	left
44.4174	1	Stimulus/S  1	1	444174	444182	2	5	30	pips_l40_r400_500-8000.hdf5	right	left
45.4628	1	Stimulus/S  1	1	454628	454636	3	0	20	pips_l40_r400_500-8000.hdf5	right	left
46.5294	1	Stimulus/S  1	1	465294	465302	3	1	40	pips_l40_r400_500-8000.hdf5	right	left
47.5748	1	Stimulus/S  1	1	475748	475756	3	2	60	pips_l40_r400_500-8000.hdf5	right	left
48.6308	1	Stimulus/S  1	1	486308	486316	3	3	70	pips_l40_r400_500-8000.hdf5	right	left
49.6975	1	Stimulus/S  1	1	496975	496983	3	4	50	pips_l40_r400_500-8000.hdf5	right	left
50.7641	1	Stimulus/S  1	1	507641	507649	3	5	30	pips_l40_r400_500-8000.hdf5	right	left
51.8095	1	Stimulus/S  1	1	518095	518103	4	0	20	pips_l40_r400_500-8000.hdf5	right	left
52.8762	1	Stimulus/S  1	1	528762	528770	4	1	40	pips_l40_r400_500-8000.hdf5	right	left
53.9428	1	Stimulus/S  1	1	539428	539436	4	2	60	pips_l40_r400_500-8000.hdf5	right	left
54.9989	1	Stimulus/S  1	1	549989	549997	4	3	70	pips_l40_r400_500-8000.hdf5	right	left
56.0442	1	Stimulus/S  1	1	560442	560450	4	4	50	pips_l40_r400_500-8000.hdf5	right	left
57.1002	1	Stimulus/S  1	1	571002	571010	4	5	30	pips_l40_r400_500-8000.hdf5	right	left
58.1456	1	Stimulus/S  1	1	581456	581464	5	0	20	pips_l40_r400_500-8000.hdf5	right	left
59.2016	1	Stimulus/S  1	1	592016	592024	5	1	40	pips_l40_r400_500-8000.hdf5	right	left
60.2576	1	Stimulus/S  1	1	602576	602584	5	2	60	pips_l40_r400_500-8000.hdf5	right	left
61.3136	1	Stimulus/S  1	1	613136	613144	5	3	70	pips_l40_r400_500-8000.hdf5	right	left
