onset	duration	eventnumber	hunger_condition	stimfilename	blockno	trialno	is_faststream	stim	food_idx	letter	letter_idx	istarget	image_number	response	keypressed	rt	correct	time_stimon	time_stimoff
12553.75	0.09998	0	satiated	stimuli/non_foods\non-food_animate_frog.jpg	1	1	1	non-food_animate_frog	0	K	7	0	113	0		0	0	82.8464336	82.9464136
12591.25	0.1000339	1	satiated	stimuli/non_foods\non-food_inanimate_construction_helment.jpg	1	1	1	non-food_inanimate_construction_helment	0	W	16	0	175	0		0	0	82.996432	83.0964659
12628.75	0.0999833	2	satiated	stimuli/non_foods\non-food_animate_killer_whale.jpg	1	1	1	non-food_animate_killer_whale	0	J	6	0	123	0		0	0	83.1464259	83.2464092
12666.25	0.0999386	3	satiated	stimuli/foods\fruit_pie.jpg	1	1	1	fruit_pie	1	K	7	0	54	0		0	0	83.2964687	83.3964073
12703.75	0.0999819	4	satiated	stimuli/foods\coffee_beans.jpg	1	1	1	coffee_beans	1	R	12	0	34	0		0	0	83.4464213	83.5464032
12741.25	0.0999883	5	satiated	stimuli/non_foods\non-food_inanimate_stoplight.jpg	1	1	1	non-food_inanimate_stoplight	0	K	7	0	214	0		0	0	83.5964174	83.6964057
12778.75	0.0999832	6	satiated	stimuli/foods\apricot.jpg	1	1	1	apricot	1	H	5	0	2	0		0	0	83.7464196	83.8464028
12816.25	0.1000259	7	satiated	stimuli/non_foods\non-food_animate_german_shepherd.jpg	1	1	1	non-food_animate_german_shepherd	0	X	17	0	114	0		0	0	83.8964185	83.9964444
12853.75	0.0999614	8	satiated	stimuli/non_foods\non-food_animate_polar_bear.jpg	1	1	1	non-food_animate_polar_bear	0	R	12	0	137	0		0	0	84.0464406	84.146402
12891.25	0.0999838	9	satiated	stimuli/non_foods\non-food_inanimate_hammer.jpg	1	1	1	non-food_inanimate_hammer	0	Z	18	0	186	0		0	0	84.1964156	84.2963994
12928.75	0.1000115	10	satiated	stimuli/non_foods\non-food_inanimate_canoe.jpg	1	1	1	non-food_inanimate_canoe	0	S	13	0	170	0		0	0	84.3463851	84.4463966
12966.25	0.0999858	11	satiated	stimuli/foods\papaya.jpg	1	1	1	papaya	1	H	5	0	235	0		0	0	84.4964135	84.5963993
13003.75	0.0999872	12	satiated	stimuli/foods\cannoli.jpg	1	1	1	cannoli	1	N	10	0	17	0		0	0	84.646409	84.7463962
13041.25	0.0997868	13	satiated	stimuli/foods\lemon.jpg	1	1	1	lemon	1	V	15	0	72	0		0	0	84.796616	84.8964028
13078.75	0.0999819	14	satiated	stimuli/non_foods\non-food_animate_pigeon.jpg	1	1	1	non-food_animate_pigeon	0	P	11	0	136	0		0	0	84.9464125	85.0463944
13116.25	0.0999691	15	satiated	stimuli/foods\egg.jpg	1	1	1	egg	1	C	1	0	45	0		0	0	85.0964203	85.1963894
13153.75	0.0999875	16	satiated	stimuli/foods\fries.jpg	1	1	1	fries	1	F	3	0	52	0		0	0	85.2464064	85.3463939
13191.25	0.0999847	17	satiated	stimuli/foods\mango.jpg	1	1	1	mango	1	Z	18	0	80	0		0	0	85.3964038	85.4963885
13228.75	0.0999836	18	satiated	stimuli/foods\eggplant.jpg	1	1	1	eggplant	1	T	14	0	46	0		0	0	85.546405	85.6463886
13266.25	0.1000217	19	satiated	stimuli/foods\pumpkin.jpg	1	1	1	pumpkin	1	W	16	0	250	0		0	0	85.6964088	85.7964305
13303.75	0.099984	20	satiated	stimuli/non_foods\non-food_inanimate_protractor.jpg	1	1	1	non-food_inanimate_protractor	0	B	0	0	201	0		0	0	85.8464189	85.9464029
13341.25	0.0999828	21	satiated	stimuli/foods\hotdog.jpg	1	1	1	hotdog	1	J	6	0	67	0		0	0	85.9964024	86.0963852
13378.75	0.0999849	22	satiated	stimuli/non_foods\non-food_animate_owl.jpg	1	1	1	non-food_animate_owl	0	M	9	0	132	0		0	0	86.1463983	86.2463832
13416.25	0.0999873	23	satiated	stimuli/non_foods\non-food_inanimate_moss.jpg	1	1	1	non-food_inanimate_moss	0	X	17	0	194	0		0	0	86.2963993	86.3963866
13453.75	0.0999785	24	satiated	stimuli/non_foods\non-food_animate_elephant.jpg	1	1	1	non-food_animate_elephant	0	S	13	0	111	0		0	0	86.4464003	86.5463788
13491.25	0.0999856	25	satiated	stimuli/non_foods\non-food_inanimate_suitcase.jpg	1	1	1	non-food_inanimate_suitcase	0	W	16	0	215	0		0	0	86.596394	86.6963796
