onset	duration	trial	value	instruction
5047	6	1	1	rest
10987	1	1	2	ready
12018	6	1	3	task
17949	8	1	4	interval
26022	6	2	1	rest
31987	1	2	2	ready
33000	6	2	3	task
38947	8	2	4	interval
47022	6	3	1	rest
52997	1	3	2	ready
54012	6	3	3	task
59953	8	3	4	interval
68026	6	4	1	rest
73992	1	4	2	ready
75013	6	4	3	task
80949	8	4	4	interval
89021	6	5	1	rest
94990	1	5	2	ready
96011	6	5	3	task
101964	8	5	4	interval
110030	6	6	1	rest
115988	1	6	2	ready
116999	6	6	3	task
122957	8	6	4	interval
131031	6	7	1	rest
136997	1	7	2	ready
138031	6	7	3	task
143952	8	7	4	interval
152031	6	8	1	rest
158017	1	8	2	ready
159024	6	8	3	task
164962	8	8	4	interval
173038	6	9	1	rest
178999	1	9	2	ready
180031	6	9	3	task
185954	8	9	4	interval
194043	6	10	1	rest
200033	1	10	2	ready
201012	6	10	3	task
206968	8	10	4	interval
215046	6	11	1	rest
221028	1	11	2	ready
222031	6	11	3	task
227970	8	11	4	interval
236050	6	12	1	rest
242013	1	12	2	ready
243039	6	12	3	task
248973	8	12	4	interval
257051	6	13	1	rest
263019	1	13	2	ready
264021	6	13	3	task
269974	8	13	4	interval
278046	6	14	1	rest
284011	1	14	2	ready
285040	6	14	3	task
290977	8	14	4	interval
299048	6	15	1	rest
305016	1	15	2	ready
306039	6	15	3	task
311984	8	15	4	interval
320058	6	16	1	rest
326021	1	16	2	ready
327046	6	16	3	task
332974	8	16	4	interval
341058	6	17	1	rest
347025	1	17	2	ready
348040	6	17	3	task
353977	8	17	4	interval
362058	6	18	1	rest
368024	1	18	2	ready
369032	6	18	3	task
374980	8	18	4	interval
383063	6	19	1	rest
389052	1	19	2	ready
390041	6	19	3	task
395984	8	19	4	interval
404065	6	20	1	rest
410045	1	20	2	ready
411051	6	20	3	task
416993	8	20	4	interval
