onset	duration	trial_type	response
23.17	0.13	change	yes
45.00	0.13	change	yes
72.33	0.13	change	yes
96.67	0.13	change	yes
120.50	0.13	change	yes
132.33	0.13	change	yes
164.33	0.13	change	yes
186.67	0.13	change	yes
198.17	0.13	change	yes
220.00	0.13	change	yes
251.50	0.13	change	yes
284.83	0.13	change	yes
293.50	0.13	change	yes
321.83	0.13	change	yes
336.50	0.13	change	yes
