onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
390.4707556794601	1.1375038005644456	TARGET	1.1375038005644456	11_2	100	zöldség	rendszeres		old	1	2637	7	2	3	5423	10	3	8	1.9	2.0	2.65	2.4	0.840808868
396.4730389651959	0.9992976475768957	TARGET	0.9992976475768957	11_2	51	magazin	tudományos		old	1	7307	7	3	2	11632	10	4	5	1.8	6.3	6.45	6.15	0.735963702
404.4824415737239	0.9418919919262408	TARGET	0.9418919919262408	11_2	52	matrica	fizetős		old	1	1479	7	3	2	2152	7	3	2	2.75	5.8	5.4	5.6	0.701929092
408.4796326763462	1.6161357143719215	DISTANT	1.6161357143719215	11_2	21	díszlet	kulturális		old	0	1420	7	2	3	24926	10	4	1	1.65	4.6	4.1	4.5	0.683287978
418.4940992919292	1.1620871598424856	TARGET	1.1620871598424856	11_2	53	mellény	sportos		old	1	909	7	2	5	700	7	2	7	1.45	5.9	6.0	6.0	0.629222572
430.5037078418827	1.4082368367235176	FOIL	1.4082368367235176	11_2	118	veszekedés	hétköznapi		new	1	735	10	4	3	2641	10	4	3	5.55	5.05	6.0	6.45	0.0
436.505969355203	0.9980015486507908	DISTANT	0.9980015486507908	11_2	22	díszterem	miniszteri		new	1	1123	9	3	1	4544	10	4	7	2.6	6.6	5.9	5.45	0.636730134
444.5153576195589	1.2686229051323608	FOIL	1.2686229051323608	11_2	119	vészhelyzet	időjárási		new	1	1043	11	3	2	1814	9	5	1	4.75	5.4	5.15	6.0	0.0
454.5208401692362	0.9990527719783132	FOIL	0.9990527719783132	11_2	120	vetélytárs	egyedüli		new	1	2392	10	3	2	2749	8	4	5	3.25	4.7	4.7	5.95	0.0
460.528122657066	0.93535949967918	TARGET	0.93535949967918	11_2	54	menetrend	szokásos		old	1	4833	9	3	2	8246	8	3	6	1.7	5.4	4.45	6.65	0.7033958440000001
466.5274274767289	1.2640376350173028	DISTANT	1.2640376350173028	11_2	23	egyenruha	vasutas		new	1	1598	9	4	1	1481	7	3	6	1.35	6.25	6.8	6.75	0.63155067
476.5389074295963	1.4048388034570962	FOIL	1.4048388034570962	11_2	121	vetítés	egyszeri		new	1	1678	7	3	4	2982	8	3	3	1.55	5.8	4.2	6.15	0.0
484.54828160592297	1.1074340494378705	DISTANT	1.1074340494378705	11_2	24	étterem	milliárdos		new	1	4657	7	3	4	7498	10	4	7	2.4	4.75	5.15	4.95	0.604082525
492.55467040024814	1.1567232057859655	FOIL	1.1567232057859655	11_2	122	vezetőség	tartományi		new	1	3803	9	4	2	2253	10	4	7	2.0	3.7	2.35	3.85	0.0
502.5791533502779	0.955746930805617	TARGET	0.955746930805617	11_2	55	mikrofon	vezetékes		old	1	1847	8	3	1	3193	9	4	8	1.25	6.45	6.75	6.25	0.60200268
512.5876443350862	0.987671947630588	TARGET	0.987671947630588	11_2	56	monitor	kijelzős		old	1	3644	7	3	3	489	8	3	2	1.25	6.0	6.15	5.15	0.7256274220000001
518.609919818613	0.8695097339223139	DISTANT	0.8695097339223139	11_2	25	fejedelem	gyarmati		new	1	903	9	4	3	862	8	3	3	2.75	4.75	3.35	4.8	0.65641886
528.6114054655918	0.9795067805825964	TARGET	0.9795067805825964	11_2	57	műalkotás	korabeli		old	1	784	9	4	1	2056	8	4	3	2.0	5.45	4.75	6.2	0.619737864
534.6196894844179	1.131272536047618	FOIL	1.131272536047618	11_2	123	villany	infravörös		new	1	826	7	2	5	464	10	4	1	1.95	5.75	5.95	4.8	0.0
544.6301873733901	1.0321586220088648	TARGET	1.0321586220088648	11_2	58	műanyag	felesleges		old	1	3590	7	3	1	4304	10	4	7	3.55	4.95	5.15	6.3	0.7246280909999999
554.635668898467	1.0906009006575914	TARGET	1.0906009006575914	11_2	59	műemlék	természeti		new	0	1457	7	3	1	3805	10	4	6	2.45	4.95	5.05	4.45	0.654830635
566.64325338247	1.2754141048935708	TARGET	1.2754141048935708	11_2	60	mutatvány	szánalmas		old	1	716	9	3	3	685	9	3	4	4.45	4.9	3.5	6.1	0.609612226
574.652619105982	1.2819168842106592	FOIL	1.2819168842106592	11_2	124	zaklatás	pszichés		new	1	1370	8	3	3	534	8	2	5	6.05	5.05	3.1	5.55	0.0
582.6620145424386	1.416550312336767	FOIL	1.416550312336767	11_2	125	zűrzavar	érzelmi		new	1	667	8	3	1	1869	7	3	7	5.7	4.6	3.65	5.8	0.0
592.6704891339032	1.088292256477871	TARGET	1.088292256477871	11_2	61	művészet	vizuális		old	1	6299	8	3	1	1406	8	4	1	2.15	4.8	4.3	5.65	0.65917778
598.6917892133351	0.922313213828602	TARGET	0.922313213828602	11_2	62	nagymama	kedvenc		old	1	1874	8	3	1	9838	7	2	3	3.25	6.0	5.9	6.8	0.621415973
