onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
22.101008370082127	2.0	FILLER	1.143909500533482	11_2	13	célpont	potenciális	1	good		3846	7	2	1	2486	11	5	2	4.55	5.8	4.7	6.4	0.0
30.10542816985981	2.0	FILLER	1.1394202851661248	11_2	14	családfő	becsületes	1	good		479	8	3	1	1099	10	4	6	2.65	5.8	4.7	6.65	0.0
40.11691119647003	2.0	DISTANT	1.2962359596858732	11_2	60	mutatvány	szánalmas	1	good	1	716	9	3	3	685	9	3	4	4.45	4.9	3.5	6.1	1.0
46.121186273754574	2.0	REPEAT	1.2197689409076702	11_2	43	kolbász	tonnányi	1	no-good	1	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
56.12667727623193	2.0	FILLER	1.4701834492152557	11_2	15	csarnok	hivatali	1	good		1997	7	2	5	4213	8	4	7	1.6	5.45	5.1	4.45	0.0
66.13716363863205	2.0	DISTANT	1.0352815544465557	11_2	61	művészet	vizuális	1	good	1	6299	8	3	1	1406	8	4	1	2.15	4.8	4.3	5.65	1.0
74.14151376669179	2.0	FILLER	1.0711857998830965	11_2	16	császár	tudatos	1	good		1880	7	2	5	2350	7	3	6	2.1	3.9	3.25	4.75	0.0
80.14983159679105	2.0	REPEAT	1.0068864860659232	11_2	44	kollégium	főiskolai	1	good	0	3139	9	4	3	1294	9	5	2	2.5	6.6	6.2	6.45	1.0
86.15412742189073	2.0	FILLER	1.7305187494930578	11_2	17	csemege	temérdek	1	good		805	7	3	1	494	8	3	1	2.3	4.8	5.75	5.75	0.0
92.15841607490438	2.0	REPEAT	1.373432482345379	11_2	45	kolostor	hajdani	1	good	1	1099	8	3	4	1367	7	3	7	2.3	4.65	5.65	5.75	1.0
100.16582637961255	2.0	FILLER	1.2143865443358663	11_2	18	diskurzus	társadalmi	1	good		476	9	3	1	23674	10	4	7	2.4	3.4	2.35	5.5	0.0
104.16899413758074	2.0	REPEAT	1.2275117231620245	11_2	46	költészet	mágikus	1	no-good	1	1207	9	3	4	454	7	3	1	2.6	3.0	3.15	3.85	1.0
108.1661519412155	2.0	DISTANT	1.8139350101118907	11_2	62	nagymama	kedvenc	1	no-good	1	1874	8	3	1	9838	7	2	3	3.25	6.0	5.9	6.8	1.0
120.18276557284116	2.0	CLOSE	1.3736261287267553	11_2	84	tanfolyam	gyakorlati	1	good	1	1871	9	3	2	3948	10	4	8	1.9	6.1	4.1	6.1	1.0
126.18704321158292	2.0	CLOSE	1.0331867921777302	11_2	85	távirat	udvarias	1	good	1	635	7	3	2	446	8	4	1	2.1	4.8	4.45	5.15	1.0
136.1925211506168	2.0	REPEAT	1.5713096464751288	11_2	47	kommentár	terjedelmes	1	no-good	1	2449	9	3	2	699	11	4	5	2.2	4.4	4.0	5.3	1.0
140.19873730251857	2.0	FILLER	1.0529318090557354	11_2	19	díszvendég	nagyvonalú	1	good		656	10	3	2	494	10	4	2	2.05	4.75	4.65	5.2	0.0
148.19915968732676	2.0	CLOSE	1.3409426635043928	11_2	86	telefonszám	otthoni	1	no-good	1	4732	11	4	2	4288	7	3	8	1.4	6.5	4.3	6.65	1.0
154.2103553180932	2.0	CLOSE	1.2018420485692332	11_2	87	tévéműsor	félelmetes	1	good	1	648	9	4	1	1112	10	4	2	5.45	5.8	5.05	6.6	1.0
162.23379370459588	2.0	FILLER	1.3704722026450329	11_2	20	dulakodás	szándékos	1	no-good		585	9	4	0	1215	9	3	7	5.55	5.9	5.6	5.85	0.0
168.23206651190412	2.0	DISTANT	1.2036040771345142	11_2	63	napsütés	felhőtlen	1	good	1	3340	8	3	2	612	9	3	1	3.0	6.1	6.45	6.6	1.0
174.24335666054685	2.0	FILLER	1.2086271008156473	11_2	21	élettárs	passzív	1	no-good		2516	8	3	3	1448	7	2	5	4.45	3.8	3.8	4.3	0.0
184.2678367929766	2.0	REPEAT	1.2478130892122865	11_2	48	legénység	katonai	1	good	1	1179	9	3	4	14642	7	4	3	4.35	6.0	5.9	6.15	1.0
190.2671387950395	2.0	REPEAT	0.9125468779238872	11_2	43	kolbász	tonnányi	2	no-good	1	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
198.27648812519328	2.0	DISTANT	1.7429295370384352	11_2	60	mutatvány	szabálytalan	2	good	1	716	9	3	3	909	12	4	1	3.55	3.95	4.6	5.05	0.609612226
204.2848195310362	2.0	FILLER	1.3270526326232357	11_2	22	ellenőr	közömbös	1	good		1812	7	3	3	568	8	3	1	2.25	5.65	6.15	5.9	0.0
210.28406697399623	2.0	DISTANT	0.9751161814347142	11_2	61	művészet	strukturális	2	good	1	6299	8	3	1	2005	12	4	2	2.05	3.3	3.25	3.8	0.65917778
218.29348571972517	2.0	DISTANT	1.3022074921173044	11_2	64	novella	tanulságos	1	good	0	925	7	3	1	805	10	4	6	2.45	5.4	3.05	6.5	1.0
222.29966601118213	2.0	CLOSE	1.047897002645186	11_2	88	törmelék	építkezési	1	good	1	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
226.3028555415804	2.0	REPEAT	0.6927246586419642	11_2	44	kollégium	főiskolai	2	good	0	3139	9	4	3	1294	9	5	2	2.5	6.6	6.2	6.45	1.0
236.30835397230112	2.0	FILLER	1.4312131357728504	11_2	23	engedmény	felelőtlen	1	good		1190	9	3	2	1991	10	4	1	4.55	3.55	2.45	4.1	0.0
240.314511210614	2.0	REPEAT	0.6484157496015541	11_2	45	kolostor	hajdani	2	good	1	1099	8	3	4	1367	7	3	7	2.3	4.65	5.65	5.75	1.0
246.31884212773	2.0	REPEAT	0.8761410985607654	11_2	46	költészet	mágikus	2	no-good	1	1207	9	3	4	454	7	3	1	2.6	3.0	3.15	3.85	1.0
254.3252145287115	2.0	DISTANT	1.421711911025341	11_2	62	nagymama	bámulatos	2	no-good	1	1874	8	3	1	305	9	4	5	3.15	6.25	6.0	6.5	0.621415973
260.3475017949386	2.0	CLOSE	0.8630205303634284	11_2	85	távirat	kulturált	2	good	1	635	7	3	2	578	9	3	1	1.7	3.45	2.2	3.7	0.7990051509999999
272.3510440384125	2.0	CLOSE	0.9873771235434106	11_2	84	tanfolyam	elméleti	2	good	1	1871	9	3	2	2162	8	4	8	2.65	4.65	4.05	6.55	0.8934527640000001
278.359368016012	2.0	FILLER	0.987750840606168	11_2	24	értékrend	szubjektív	1	good		2241	9	3	4	1070	10	3	1	1.85	4.35	1.65	5.9	0.0
286.3687537189253	2.0	FILLER	1.3541746552218683	11_2	25	értesítés	sokszoros	1	good		2230	9	4	4	516	9	3	3	3.5	4.9	4.55	6.0	0.0
