onset	duration	type
30.5	1	NoReward
69.5	1	NoReward
91.5	1	NoReward
104.5	1	NoReward
164.5	1	NoReward
175.5	1	NoReward
186.5	1	NoReward
197.5	1	NoReward
236.5	1	NoReward
249.5	1	NoReward
305.5	1	NoReward
320.5	1	NoReward
335.5	1	NoReward
348.5	1	NoReward
376.5	1	NoReward
389.5	1	NoReward
43.5	1	Reward
58.5	1	Reward
80.5	1	Reward
119.5	1	Reward
208.5	1	Reward
223.5	1	Reward
290.5	1	Reward
363.5	1	Reward
