onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
858.3732	10	clicks	0	8583732	1	clean	1	2	clicks/clicks_048_regress.hdf5	n/a	n/a	n/a	n/a	n/a
868.4428	10	clicks	0	8684428	1	clean	1	2	clicks/clicks_049_regress.hdf5	n/a	n/a	n/a	n/a	n/a
878.491	10	clicks	0	8784910	1	clean	1	2	clicks/clicks_050_regress.hdf5	n/a	n/a	n/a	n/a	n/a
888.5606	10	clicks	0	8885606	1	clean	1	2	clicks/clicks_051_regress.hdf5	n/a	n/a	n/a	n/a	n/a
898.6302	10	clicks	0	8986302	1	clean	1	2	clicks/clicks_052_regress.hdf5	n/a	n/a	n/a	n/a	n/a
908.7211	10	clicks	0	9087211	1	clean	1	2	clicks/clicks_053_regress.hdf5	n/a	n/a	n/a	n/a	n/a
918.7694	10	clicks	0	9187694	1	clean	1	2	clicks/clicks_054_regress.hdf5	n/a	n/a	n/a	n/a	n/a
928.8603	10	clicks	0	9288603	1	clean	1	2	clicks/clicks_055_regress.hdf5	n/a	n/a	n/a	n/a	n/a
938.9086	10	clicks	0	9389086	1	clean	1	2	clicks/clicks_056_regress.hdf5	n/a	n/a	n/a	n/a	n/a
948.9782	10	clicks	0	9489782	1	clean	1	2	clicks/clicks_057_regress.hdf5	n/a	n/a	n/a	n/a	n/a
959.0477	10	clicks	0	9590477	1	clean	1	2	clicks/clicks_058_regress.hdf5	n/a	n/a	n/a	n/a	n/a
969.1173	10	clicks	0	9691173	1	clean	1	2	clicks/clicks_059_regress.hdf5	n/a	n/a	n/a	n/a	n/a
1044.9592	10	speech	1	10449592	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_198_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_161_peaky_diotic_regress.hdf5	n/a
1055.0502	10	speech	1	10550502	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_215_peaky_diotic_regress.hdf5	n/a
1065.1411	10	speech	1	10651411	5	-6 dB	1	2	n/a	speech/alice/alice_120_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_360_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_162_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_341_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_270_peaky_diotic_regress.hdf5
1075.232	10	speech	1	10752320	3	-3 dB	1	2	n/a	speech/alice/alice_371_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_305_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_309_peaky_diotic_regress.hdf5
