onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id1	a2	n/a	n/a
20.08	5	face	id1	a2	2.14	same
25.1	5	face	id2	a5	2.11	different
30.09	5	face	id2	a2	2.03	same
35.09	5	face	id3	a3	2.35	different
40.09	5	face	id1	a3	2.07	different
45.09	5	face	id4	a2	2.11	different
50.09	5	face	id1	a1	2.14	different
55.1	5	face	id2	a3	2.15	different
60.1	5	face	id4	a1	2.06	different
65.07	5	fixation	n/a	n/a	n/a	n/a
70.1	5	face	id3	a4	2.64	different
75.1	5	face	id3	a2	2.23	same
80.1	5	face	id3	a1	2.33	same
85.1	5	face	id3	a5	2.18	same
90.11	5	face	id4	a5	2.42	different
95.11	5	face	id4	a4	2.24	different
100.11	5	face	id2	a4	2.14	different
105.11	5	face	id1	a4	2.17	different
110.11	5	face	id2	a1	2.04	different
115.11	5	face	id4	a3	2.39	different
120.12	5	face	id1	a5	2.15	different
125.12	5	face	id1	a5	2.57	same
130.12	5	face	id3	a1	1.89	different
135.12	5	face	id2	a5	2.23	different
140.11	5	face	id3	a3	1.93	different
145.11	5	face	id1	a4	1.89	different
150.13	5	face	id4	a5	2.77	different
155.13	5	face	id1	a1	2.15	different
160.13	5	face	id2	a4	2.0	different
165.12	5	face	id1	a2	2.2	different
170.12	5	face	id4	a3	2.04	different
175.12	5	face	id3	a2	2.07	different
180.12	5	face	id2	a3	2.36	different
185.14	5	face	id1	a3	2.6	different
190.13	5	face	id3	a5	2.2	different
195.1	5	fixation	n/a	n/a	n/a	n/a
200.13	5	face	id2	a2	2.1	different
205.13	5	face	id4	a2	2.65	different
210.13	5	face	id3	a4	3.8	different
215.14	5	face	id2	a1	3.09	different
220.14	5	face	id4	a4	2.43	different
225.14	5	face	id4	a1	2.37	different
230.14	5	face	id4	a1	2.12	same
235.14	5	face	id2	a5	2.0	different
240.14	5	face	id1	a5	2.12	different
245.15	5	face	id2	a4	2.8	different
250.15	5	face	id4	a2	2.33	different
255.15	5	face	id3	a1	2.34	different
260.15	5	face	id1	a3	2.08	different
265.15	5	face	id2	a1	2.22	different
270.15	5	face	id1	a1	2.06	different
275.14	5	face	id3	a5	2.4	different
280.16	5	face	id4	a3	1.92	different
285.16	5	face	id3	a4	2.28	different
290.16	5	face	id4	a5	2.22	different
295.16	5	face	id3	a3	2.89	different
300.15	5	face	id2	a2	2.33	different
305.15	5	face	id4	a4	2.93	different
310.17	5	face	id2	a3	3.04	different
315.17	5	face	id3	a2	2.8	different
320.17	5	face	id1	a4	2.51	different
325.16	5	face	id1	a2	2.19	different
330.13	5	fixation	n/a	n/a	n/a	n/a
