onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	3	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	40.3	0.66721	1
3.183000e+00	6	Anticipation	3	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	n/a	n/a	1
9.183000e+00	2.5	Image	3	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	43.5	1.418	1
2.004800e+01	1	MoneyCue	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor31.jpg	animate38.jpg	43.133	0.7847	2
2.104800e+01	2	Anticipation	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor31.jpg	animate38.jpg	n/a	n/a	2
2.304800e+01	2.5	Image	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor31.jpg	animate38.jpg	43.333	-1.1038	2
3.386400e+01	1	MoneyCue	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	42.167	0.28251	2
3.488000e+01	6	Anticipation	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	n/a	n/a	2
4.089600e+01	2.5	Image	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	39.6	3.2852	2
5.069600e+01	1	MoneyCue	3	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	43.585	-0.10124	2
5.171200e+01	6	Anticipation	3	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	n/a	n/a	2
5.772800e+01	2.5	Image	3	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	38.2	2.0182	2
6.654400e+01	1	MoneyCue	3	5	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	39.546	0.97844	1
6.756000e+01	2	Anticipation	3	5	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	n/a	n/a	1
6.956000e+01	2.5	Image	3	5	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	40.8	0.87213	1
7.839200e+01	1	MoneyCue	3	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	40.3	-0.67842	3
7.939200e+01	4	Anticipation	3	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	n/a	n/a	3
8.339200e+01	2.5	Image	3	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	38.033	5.7372	3
9.420700e+01	1	MoneyCue	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor13.jpg	animate2.jpg	43.524	0.16472	3
9.520700e+01	2	Anticipation	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor13.jpg	animate2.jpg	n/a	n/a	3
9.720700e+01	2.5	Image	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor13.jpg	animate2.jpg	42.6	1.5967	3
1.070230e+02	1	MoneyCue	3	8	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor60.jpg	inanimate36.jpg	40.233	0.14372	1
1.080230e+02	4	Anticipation	3	8	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor60.jpg	inanimate36.jpg	n/a	n/a	1
1.120390e+02	2.5	Image	3	8	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor60.jpg	inanimate36.jpg	40.095	2.2998	1
1.208710e+02	1	MoneyCue	3	9	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	40.533	-0.09071	3
1.218710e+02	2	Anticipation	3	9	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	n/a	n/a	3
