onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
1.644330e+02	1	MoneyCue	1	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor70.jpg	inanimate22.jpg	42.7	-0.30656	1
1.654330e+02	6	Anticipation	1	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor70.jpg	inanimate22.jpg	n/a	n/a	1
1.714490e+02	2.5	Image	1	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor70.jpg	inanimate22.jpg	40.9	1.1492	1
1.802480e+02	1	MoneyCue	1	13	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor21.jpg	animate32.jpg	42.1	2.2115	1
1.812480e+02	6	Anticipation	1	13	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor21.jpg	animate32.jpg	n/a	n/a	1
1.872640e+02	2.5	Image	1	13	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor21.jpg	animate32.jpg	40.9	1.5552	1
1.960970e+02	1	MoneyCue	1	14	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	40.2	-0.28402	3
1.971130e+02	2	Anticipation	1	14	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	n/a	n/a	3
1.991130e+02	2.5	Image	1	14	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	42.5	-0.02459	3
2.099450e+02	1	MoneyCue	1	15	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	40.733	2.6273	1
2.109450e+02	2	Anticipation	1	15	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	n/a	n/a	1
2.129450e+02	2.5	Image	1	15	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	41.233	0.50437	1
2.217600e+02	1	MoneyCue	1	16	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	45.767	-0.66831	1
2.227600e+02	2	Anticipation	1	16	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	n/a	n/a	1
2.247600e+02	2.5	Image	1	16	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	42.692	-2.3146	1
2.355760e+02	1	MoneyCue	1	17	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor48.jpg	animate45.jpg	40.233	1.3404	2
2.365920e+02	6	Anticipation	1	17	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor48.jpg	animate45.jpg	n/a	n/a	2
2.426080e+02	2.5	Image	1	17	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor48.jpg	animate45.jpg	37.332	1.6004	2
2.534240e+02	1	MoneyCue	1	18	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	40.633	1.2847	2
2.544240e+02	6	Anticipation	1	18	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	n/a	n/a	2
2.604400e+02	2.5	Image	1	18	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	41.067	1.8186	2
2.692720e+02	1	MoneyCue	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor43.jpg	animate20.jpg	40.067	0.5071	1
2.702720e+02	4	Anticipation	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor43.jpg	animate20.jpg	n/a	n/a	1
2.742720e+02	2.5	Image	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor43.jpg	animate20.jpg	41.543	1.1293	1
2.851040e+02	1	MoneyCue	1	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor51.jpg	inanimate27.jpg	38.6	0.35082	1
2.861040e+02	2	Anticipation	1	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor51.jpg	inanimate27.jpg	n/a	n/a	1
2.881200e+02	2.5	Image	1	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor51.jpg	inanimate27.jpg	41	-0.29508	1
2.979360e+02	1	MoneyCue	1	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor67.jpg	inanimate43.jpg	45.932	-1.8171	2
2.989360e+02	6	Anticipation	1	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor67.jpg	inanimate43.jpg	n/a	n/a	2
3.049520e+02	2.5	Image	1	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor67.jpg	inanimate43.jpg	43.167	0.86612	2
3.148010e+02	1	MoneyCue	1	22	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	43.8	-0.045902	1
3.158010e+02	4	Anticipation	1	22	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	n/a	n/a	1
3.198170e+02	2.5	Image	1	22	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	42.703	1.6069	1
3.296490e+02	1	MoneyCue	1	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	44.167	-0.57365	2
3.306490e+02	4	Anticipation	1	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	n/a	n/a	2
3.346490e+02	2.5	Image	1	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	40.46	1.8679	2
3.444980e+02	1	MoneyCue	1	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor64.jpg	inanimate16.jpg	42.133	0.49781	2
3.454980e+02	4	Anticipation	1	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor64.jpg	inanimate16.jpg	n/a	n/a	2
3.495140e+02	2.5	Image	1	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor64.jpg	inanimate16.jpg	43	-0.14754	2
