onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor40.jpg	animate18.jpg	41.233	1.3491	3
3.183000e+00	6	Anticipation	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor40.jpg	animate18.jpg	n/a	n/a	3
9.199000e+00	2.5	Image	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor40.jpg	animate18.jpg	41.35	0.25656	3
2.006500e+01	1	MoneyCue	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	44.267	0.069399	2
2.106500e+01	4	Anticipation	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	n/a	n/a	2
2.508100e+01	2.5	Image	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	40.6	2.5058	2
3.488000e+01	1	MoneyCue	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor24.jpg	animate7.jpg	41.733	-0.38907	1
3.588000e+01	4	Anticipation	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor24.jpg	animate7.jpg	n/a	n/a	1
3.989600e+01	2.5	Image	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor24.jpg	animate7.jpg	43.667	0.33333	1
4.971200e+01	1	MoneyCue	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	40.533	0.073224	1
5.071200e+01	2	Anticipation	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	n/a	n/a	1
5.272800e+01	2.5	Image	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	40.567	0.71202	1
6.352700e+01	1	MoneyCue	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor52.jpg	inanimate4.jpg	40.35	0.24016	2
