onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	2	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	40.167	0.29986	1
3.183000e+00	6	Anticipation	2	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	n/a	n/a	1
9.199000e+00	2.5	Image	2	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	41.433	1.5667	1
1.801500e+01	1	MoneyCue	2	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor32.jpg	animate13.jpg	43.942	0.067339	2
1.901500e+01	4	Anticipation	2	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor32.jpg	animate13.jpg	n/a	n/a	2
2.303100e+01	2.5	Image	2	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor32.jpg	animate13.jpg	43.167	0.50546	2
3.384600e+01	1	MoneyCue	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	43.6	1.1317	2
3.484600e+01	2	Anticipation	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	n/a	n/a	2
3.684600e+01	2.5	Image	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	44.433	0.4847	2
4.767800e+01	1	MoneyCue	2	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	41.667	0.027819	1
4.867800e+01	6	Anticipation	2	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	n/a	n/a	1
5.467800e+01	2.5	Image	2	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	43.041	1.3183	1
6.551000e+01	1	MoneyCue	2	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor7.jpg	animate47.jpg	42.368	0.60331	2
6.651000e+01	2	Anticipation	2	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor7.jpg	animate47.jpg	n/a	n/a	2
6.852600e+01	2.5	Image	2	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor7.jpg	animate47.jpg	41.1	-0.52623	2
7.834200e+01	1	MoneyCue	2	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor63.jpg	inanimate15.jpg	38.438	2.1525	2
7.934200e+01	2	Anticipation	2	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor63.jpg	inanimate15.jpg	n/a	n/a	2
