onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	178	5	n/a	433.0	5.0	n/a	crank/crank_05s.jpg
7.5	0.5	exp	573	5	n/a	1474.0	5.0	n/a	smoke_alarm/smoke_alarm_05s.jpg
12.0	0.5	exp	716	5	n/a	1839.0	5.0	n/a	wrapping_paper/wrapping_paper_05s.jpg
16.5	0.5	exp	136	5	n/a	317.0	5.0	n/a	cherry/cherry_05s.jpg
21.0	0.5	exp	52	5	n/a	124.0	5.0	n/a	bike/bike_05s.jpg
25.5	0.5	catch	721	96	n/a	n/a	n/a	n/a	catch096.jpg
30.0	0.5	exp	580	5	n/a	1492.0	5.0	n/a	soda_fountain/soda_fountain_05s.jpg
34.5	0.5	exp	672	5	n/a	1737.0	5.0	n/a	turtle/turtle_05n.jpg
39.0	0.5	exp	60	5	n/a	138.0	5.0	n/a	blazer/blazer_05s.jpg
43.5	0.5	catch	721	48	n/a	n/a	n/a	0.881	catch048.jpg
48.0	0.5	exp	423	5	n/a	1058.0	5.0	n/a	net/net_05s.jpg
52.5	0.5	exp	90	5	n/a	210.0	5.0	n/a	bucket/bucket_05s.jpg
57.0	0.5	exp	392	5	n/a	984.0	5.0	n/a	match/match_05s.jpg
61.5	0.5	test	677	13	93.0	1744.0	13.0	n/a	umbrella/umbrella_13s.jpg
66.0	0.5	catch	721	70	n/a	n/a	n/a	1.118	catch070.jpg
70.5	0.5	exp	473	5	n/a	1193.0	5.0	n/a	pizza/pizza_05s.jpg
75.0	0.5	exp	552	5	n/a	1411.0	5.0	n/a	shaving_cream/shaving_cream_05s.jpg
79.5	0.5	exp	508	5	n/a	1273.0	5.0	n/a	radiator/radiator_05s.jpg
84.0	0.5	exp	616	5	n/a	1589.0	5.0	n/a	sushi/sushi_05s.jpg
88.5	0.5	exp	598	5	n/a	1537.0	5.0	n/a	stamp2/stamp2_05s.jpg
93.0	0.5	exp	713	5	n/a	1833.0	5.0	n/a	woman/woman_05s.jpg
97.5	0.5	exp	96	5	n/a	223.0	5.0	n/a	bunkbed/bunkbed_05s.jpg
102.0	0.5	exp	290	5	n/a	718.0	5.0	n/a	grits/grits_05s.jpg
106.5	0.5	exp	653	5	n/a	1678.0	5.0	n/a	toolbox/toolbox_05s.jpg
111.0	0.5	exp	270	5	n/a	670.0	5.0	n/a	gel/gel_05s.jpg
115.5	0.5	test	155	13	27.0	371.0	13.0	n/a	coat/coat_rack_13s.jpg
120.0	0.5	catch	721	47	n/a	n/a	n/a	0.973	catch047.jpg
124.5	0.5	exp	327	5	n/a	825.0	5.0	n/a	icicle/icicle_05s.jpg
129.0	0.5	exp	711	5	n/a	1830.0	5.0	n/a	wire_cutters/wire_cutters_05s.jpg
133.5	0.5	exp	391	5	n/a	982.0	5.0	n/a	mast/mast_05s.jpg
