onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
349.5	0.5	exp	640	5	n/a	1650.0	5.0	n/a	thimble/thimble_05n.jpg
354.0	0.5	exp	362	5	n/a	916.0	5.0	n/a	lemonade/lemonade_05s.jpg
358.5	0.5	test	68	13	16.0	155.0	14.0	n/a	boat/boat_14n.jpg
363.0	0.5	exp	208	5	n/a	502.0	5.0	n/a	dolly/dolly_05s.jpg
367.5	0.5	catch	721	43	n/a	n/a	n/a	n/a	catch043.jpg
372.0	0.5	exp	436	5	n/a	1094.0	5.0	n/a	pacifier/pacifier_05s.jpg
376.5	0.5	exp	658	5	n/a	1693.0	5.0	n/a	towel/towel_05s.jpg
381.0	0.5	exp	632	5	n/a	1630.0	5.0	n/a	tattoo/tattoo_05s.jpg
385.5	0.5	exp	674	5	n/a	1740.0	5.0	n/a	tweezers/tweezers_05s.jpg
390.0	0.5	exp	420	5	n/a	1055.0	5.0	n/a	necklace/necklace_05s.jpg
394.5	0.5	exp	467	5	n/a	1175.0	5.0	n/a	pill/pill_05s.jpg
399.0	0.5	exp	563	5	n/a	1439.0	5.0	n/a	shrimp/shrimp_05s.jpg
403.5	0.5	exp	138	5	n/a	320.0	5.0	n/a	chest1/chest1_05s.jpg
408.0	0.5	exp	257	5	n/a	632.0	5.0	n/a	footbath/footbath_05s.jpg
412.5	0.5	test	566	13	82.0	1447.0	13.0	n/a	sim/sim_card_13s.jpg
