onset	duration	trial_type	response_time	response_button	response_accuracy
30.615	5.3	Ang	n/a	n/a	1
40.214	5.3	BY	0.35	1	1
48.613	5.3	AX	0.317	2	1
57.013	5.3	BY	0.276	1	1
64.212	5.3	Ang	0.407	1	0
71.411	5.3	AY	0.714	1	1
78.611	5.3	BY	0.449	1	1
87.01	5.3	BY	0.392	1	1
96.609	5.3	AX	0.326	2	1
103.809	5.3	BX	0.568	1	1
113.421	5.3	BY	0.451	1	1
123.02	5.3	Bng	n/a	n/a	1
131.42	5.3	AY	0.49	1	1
138.619	5.3	AX	0.331	2	1
145.818	5.3	BY	0.401	1	1
154.218	5.3	BY	0.338	1	1
161.417	5.3	Bng	n/a	n/a	1
169.816	5.3	AX	0.313	2	1
177.016	5.3	BY	0.373	1	1
186.615	5.3	AX	0.342	2	1
196.214	5.3	BX	0.552	1	1
204.613	5.3	AX	0.485	2	1
214.213	5.3	AX	0.544	2	1
223.812	5.3	AX	0.453	2	1
262.209	5.3	AY	0.48	1	1
271.821	5.3	Bng	n/a	n/a	1
279.02	5.3	BY	0.355	1	1
287.42	5.3	BY	0.415	1	1
294.619	5.3	Bng	n/a	n/a	1
303.018	5.3	BY	0.318	1	1
312.618	5.3	BX	0.565	1	1
319.817	5.3	AX	0.275	2	1
328.216	5.3	BY	0.364	1	1
337.815	5.3	BY	0.385	1	1
346.215	5.3	Ang	n/a	n/a	1
355.814	5.3	AY	0.519	1	1
363.013	5.3	AX	0.336	2	1
370.213	5.3	AX	0.565	2	1
379.812	5.3	AX	0.332	2	1
388.211	5.3	BY	0.424	1	1
395.411	5.3	AX	0.335	2	1
402.61	5.3	AX	0.323	2	1
411.009	5.3	BX	0.368	1	1
419.409	5.3	Ang	n/a	n/a	1
429.021	5.3	BY	0.331	1	1
438.62	5.3	BY	0.371	1	1
447.02	5.3	AX	0.276	2	1
454.219	5.3	AX	0.318	2	1
493.816	5.3	BY	0.38	1	1
501.015	5.3	BY	0.385	1	1
510.614	5.3	Bng	n/a	n/a	1
520.213	5.3	AX	0.271	2	1
529.812	5.3	Ang	n/a	n/a	1
538.212	5.3	Ang	n/a	n/a	1
546.611	5.3	Bng	0.266	1	0
555.01	5.3	AX	0.312	2	1
562.21	5.3	BY	0.526	1	1
570.609	5.3	BY	0.434	1	1
577.822	5.3	AX	0.44	2	1
585.021	5.3	AX	0.276	2	1
594.62	5.3	BY	0.343	1	1
601.82	5.3	BX	0.397	1	1
611.419	5.3	AX	0.282	2	1
619.818	5.3	AY	0.486	1	1
628.217	5.3	BX	0.432	1	1
637.817	5.3	AY	0.546	1	1
645.016	5.3	BY	0.379	1	1
653.415	5.3	AX	0.271	2	1
660.615	5.3	AX	0.357	2	1
670.214	5.3	BY	0.396	1	1
679.813	5.3	BY	0.382	1	1
687.012	5.3	AX	0.321	2	1
