onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.12	8.5	Congruent	AttendNumber	n/a	0.677	1	1
41.919	8.5	Congruent	AttendLetter	switch	0.885	1	1
55.118	8.5	Incongruent	AttendNumber	switch	0.61	1	1
65.917	8.5	Congruent	AttendLetter	switch	0.646	2	1
77.916	8.5	Congruent	AttendNumber	switch	0.772	2	1
91.115	8.5	Incongruent	AttendLetter	switch	0.917	2	1
104.314	8.5	Congruent	AttendLetter	repeat	0.651	2	1
116.313	8.5	Congruent	AttendNumber	switch	1.396	1	1
128.312	8.5	Incongruent	AttendNumber	repeat	0.756	1	1
139.111	8.5	Incongruent	AttendNumber	repeat	0.654	1	1
149.924	8.5	Congruent	AttendLetter	switch	0.825	2	1
163.122	8.5	Incongruent	AttendLetter	repeat	0.892	1	1
176.321	8.5	Congruent	AttendNumber	switch	0.637	1	1
188.32	8.5	Congruent	AttendLetter	switch	0.625	2	1
199.119	8.5	Congruent	AttendLetter	repeat	0.626	1	1
209.919	8.5	Incongruent	AttendLetter	repeat	0.505	2	0
221.917	8.5	Congruent	AttendNumber	switch	0.976	1	0
233.916	8.5	Congruent	AttendNumber	repeat	0.624	1	1
277.113	8.5	Congruent	AttendNumber	n/a	0.75	1	1
289.112	8.5	Congruent	AttendLetter	switch	0.797	2	1
299.911	8.5	Incongruent	AttendLetter	repeat	0.718	2	1
313.123	8.5	Congruent	AttendNumber	switch	1.228	2	1
323.922	8.5	Incongruent	AttendNumber	repeat	0.666	2	1
337.121	8.5	Congruent	AttendLetter	switch	0.731	1	1
349.12	8.5	Congruent	AttendNumber	switch	1.111	2	1
359.919	8.5	Congruent	AttendLetter	switch	0.707	1	1
373.118	8.5	Incongruent	AttendLetter	repeat	0.997	2	1
385.117	8.5	Congruent	AttendLetter	repeat	0.907	2	1
395.916	8.5	Congruent	AttendLetter	repeat	0.536	1	1
409.115	8.5	Incongruent	AttendLetter	repeat	0.767	1	1
421.114	8.5	Congruent	AttendNumber	switch	0.808	1	1
434.313	8.5	Congruent	AttendLetter	switch	0.762	2	1
445.112	8.5	Incongruent	AttendNumber	switch	0.84	1	0
455.911	8.5	Incongruent	AttendNumber	repeat	0.79	2	1
469.123	8.5	Incongruent	AttendNumber	repeat	0.653	2	1
481.122	8.5	Congruent	AttendNumber	repeat	0.451	1	1
523.119	8.5	Congruent	AttendLetter	n/a	0.649	2	1
535.118	8.5	Incongruent	AttendNumber	switch	0.576	1	1
548.316	8.5	Congruent	AttendLetter	switch	0.682	1	1
560.315	8.5	Congruent	AttendNumber	switch	0.67	2	1
571.114	8.5	Incongruent	AttendLetter	switch	1.077	1	1
583.113	8.5	Congruent	AttendNumber	switch	1.575	1	1
593.913	8.5	Incongruent	AttendNumber	repeat	1.507	2	1
604.712	8.5	Congruent	AttendNumber	repeat	0.619	2	1
617.91	8.5	Congruent	AttendNumber	repeat	0.751	1	1
631.123	8.5	Congruent	AttendLetter	switch	0.701	2	1
644.322	8.5	Congruent	AttendNumber	switch	1.375	2	1
656.321	8.5	Congruent	AttendNumber	repeat	1.238	1	1
668.32	8.5	Incongruent	AttendLetter	switch	1.015	2	1
681.518	8.5	Incongruent	AttendNumber	switch	1.345	2	1
694.717	8.5	Congruent	AttendLetter	switch	1.1	1	1
706.716	8.5	Congruent	AttendLetter	repeat	0.722	1	1
717.515	8.5	Congruent	AttendLetter	repeat	0.594	2	1
728.314	8.5	Incongruent	AttendLetter	repeat	0.698	1	1
