onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.825	10.4	NP	5	0.785	2	1
42.824	10.4	NN	8	0.673	1	1
57.223	10.4	NN	8	0.859	1	1
71.622	10.4	NP	5	0.83	2	1
86.021	10.4	NN	6	0.755	2	0
99.219	10.4	NP	8	0.676	2	1
112.418	10.4	NN	5	0.732	2	0
124.417	10.4	NP	7	0.725	2	1
137.616	10.4	NN	5	0.848	1	1
150.815	10.4	NP	5	0.924	2	1
162.814	10.4	NP	7	0.831	2	1
177.226	10.4	NP	8	0.689	2	1
191.625	10.4	NN	7	0.657	1	1
203.624	10.4	NP	6	0.978	2	1
216.823	10.4	RN	5	0.843	1	1
258.819	10.4	NN	6	0.682	1	1
270.818	10.4	NN	8	0.818	1	1
282.817	10.4	NP	7	0.588	2	1
297.216	10.4	NP	7	0.75	2	1
309.215	10.4	NP	8	0.671	2	1
323.614	10.4	NP	5	0.817	2	1
338.026	10.4	NN	7	1.021	1	1
351.225	10.4	NP	5	0.842	2	1
364.424	10.4	NN	8	0.85	1	1
376.423	10.4	RN	5	0.87	1	1
389.621	10.4	NN	5	1.11	1	1
404.02	10.4	NP	8	0.677	2	1
418.419	10.4	NP	8	0.957	1	0
430.418	10.4	NP	5	0.69	2	1
443.617	10.4	NN	5	0.574	1	1
486.826	10.4	NN	5	0.655	1	1
498.825	10.4	NP	5	0.697	2	1
510.824	10.4	NP	8	1.192	2	1
524.023	10.4	RN	5	1.007	2	0
538.422	10.4	NN	8	0.873	1	1
552.821	10.4	NP	7	0.781	2	1
567.22	10.4	NP	8	0.709	2	1
579.219	10.4	NN	5	0.596	1	1
592.417	10.4	NP	6	0.867	2	1
605.616	10.4	RN	8	1.237	1	1
618.815	10.4	NP	5	0.71	2	1
630.814	10.4	NN	8	0.788	1	1
642.827	10.4	NP	5	0.807	2	1
657.225	10.4	NN	7	0.771	1	1
670.424	10.4	NN	7	0.868	1	1
