onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.108	8.5	Incongruent	AttendLetter	n/a	0.72	1	1
44.307	8.5	Congruent	AttendLetter	repeat	0.641	2	1
57.506	8.5	Congruent	AttendNumber	switch	0.569	1	1
68.305	8.5	Incongruent	AttendNumber	repeat	1.021	2	1
80.304	8.5	Congruent	AttendNumber	repeat	0.713	1	1
91.116	8.5	Congruent	AttendNumber	repeat	1.36	2	1
104.315	8.5	Incongruent	AttendLetter	switch	0.773	2	1
116.314	8.5	Incongruent	AttendLetter	repeat	0.858	2	1
127.113	8.5	Congruent	AttendNumber	switch	0.652	2	1
139.112	8.5	Congruent	AttendNumber	repeat	0.926	2	1
152.311	8.5	Congruent	AttendLetter	switch	0.901	2	1
164.31	8.5	Congruent	AttendLetter	repeat	0.67	1	1
175.109	8.5	Congruent	AttendNumber	switch	0.71	1	1
185.908	8.5	Congruent	AttendLetter	switch	0.681	1	1
199.107	8.5	Congruent	AttendLetter	repeat	0.651	1	1
211.106	8.5	Congruent	AttendLetter	repeat	0.68	2	1
223.105	8.5	Incongruent	AttendNumber	switch	0.735	1	1
233.904	8.5	Incongruent	AttendNumber	repeat	0.843	2	1
277.114	8.5	Congruent	AttendNumber	n/a	0.745	2	1
290.313	8.5	Congruent	AttendNumber	repeat	0.786	1	1
303.511	8.5	Incongruent	AttendNumber	repeat	0.961	1	1
315.51	8.5	Congruent	AttendLetter	switch	0.93	1	1
328.709	8.5	Congruent	AttendLetter	repeat	0.63	2	1
339.508	8.5	Incongruent	AttendLetter	repeat	1.429	2	1
351.507	8.5	Incongruent	AttendNumber	switch	0.536	1	1
363.506	8.5	Congruent	AttendLetter	switch	1.929	1	1
374.305	8.5	Congruent	AttendLetter	repeat	0.561	2	1
385.105	8.5	Incongruent	AttendNumber	switch	0.9	2	1
395.904	8.5	Congruent	AttendLetter	switch	0.846	2	1
407.916	8.5	Incongruent	AttendNumber	switch	0.686	1	1
418.715	8.5	Incongruent	AttendLetter	switch	0.69	1	1
430.714	8.5	Congruent	AttendLetter	repeat	0.586	2	1
443.913	8.5	Congruent	AttendNumber	switch	0.585	1	1
455.912	8.5	Congruent	AttendNumber	repeat	1.887	1	1
469.111	8.5	Congruent	AttendNumber	repeat	0.589	1	1
482.31	8.5	Congruent	AttendLetter	switch	0.658	1	1
523.106	8.5	Congruent	AttendNumber	n/a	0.676	2	1
533.905	8.5	Congruent	AttendLetter	switch	0.491	1	1
544.704	8.5	Congruent	AttendLetter	repeat	0.993	2	1
556.717	8.5	Incongruent	AttendLetter	repeat	0.704	1	1
568.716	8.5	Incongruent	AttendLetter	repeat	0.684	2	1
581.914	8.5	Congruent	AttendNumber	switch	0.686	2	1
595.113	8.5	Congruent	AttendNumber	repeat	1.279	1	1
605.912	8.5	Incongruent	AttendLetter	switch	1.061	2	1
617.911	8.5	Congruent	AttendNumber	switch	0.648	1	1
631.11	8.5	Congruent	AttendLetter	switch	0.548	2	1
644.309	8.5	Congruent	AttendNumber	switch	1.409	2	1
655.108	8.5	Congruent	AttendNumber	repeat	0.806	2	1
665.907	8.5	Incongruent	AttendLetter	switch	1.6	2	1
677.906	8.5	Incongruent	AttendNumber	switch	1.182	2	1
689.905	8.5	Incongruent	AttendNumber	repeat	0.576	1	1
703.104	8.5	Congruent	AttendLetter	switch	0.661	2	1
715.116	8.5	Congruent	AttendNumber	switch	0.577	1	1
725.916	8.5	Incongruent	AttendLetter	switch	1.115	1	1
