onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.039000000000001	8.297	3.2969999999999997	35.29	38.82	2.0	4.0	SS	24.1220326128	20.156226341700002	3.96580627115
29.373	8.459	3.4589999999999996	20.44	20.64	4.0	6.0	SS	10.6129125818	8.63983820962	1.97307437213
46.858000000000004	8.046	3.0460000000000003	22.04	22.26	0.0	4.0	SS	22.04	11.557897948599999	10.4821020514
63.942	8.154	3.154	32.55	33.53	2.0	4.0	SS	22.2491403102	17.409538105	4.839602205209999
81.127	7.945	2.945	12.76	13.14	4.0	6.0	SS	6.62528202266	5.50036211601	1.12491990665
98.111	8.401	3.4010000000000002	21.09	24.25	0.0	4.0	SS	21.09	12.5911511794	8.498848820569998
115.546	7.734	2.734	21.67	22.32	0.0	4.0	SS	21.67	11.5890513124	10.0809486876
132.314	8.95	3.95	24.26	36.39	2.0	4.0	SS	16.582615788800002	18.8945151101	2.31189932127
150.298	7.742	2.742	23.15	23.84	2.0	4.0	SS	15.8238893451	12.3782698605	3.44561948453
167.06599999999997	7.862	2.862	38.24	39.39	0.0	4.0	SS	38.24	20.4521832972	17.7878167028
183.967	8.529	3.529	9.32	11.65	2.0	6.0	SS	6.37056797822	4.87665286541	1.4939151128100001
201.535	7.473000000000001	2.4730000000000003	11.65	13.4	2.0	6.0	SS	7.96320997278	5.60919728726	2.3540126855200003
218.03599999999997	7.7	2.7	15.3	17.6	0.0	2.0	SS	15.3	12.0302571263	3.2697428737400003
234.771	8.021	3.0210000000000004	35.9	36.98	2.0	4.0	SS	24.538990388200002	19.2008565202	5.338133868
251.822	7.8100000000000005	2.81	13.35	13.75	0.0	4.0	SS	13.35	7.139312524419999	6.210687475580001
268.656	8.264	3.264	32.14	32.46	2.0	6.0	SS	21.9688900022	13.5876525332	8.381237469
285.957	8.259	3.259	26.81	29.49	0.0	4.0	SS	26.81	15.3118782796	11.4981217204
303.242	8.926	3.926	26.62	39.93	2.0	4.0	SS	18.195763903499998	20.7325635709	2.53679966745
321.193	7.7829999999999995	2.783	9.94	10.04	2.0	4.0	SS	6.79436112699	5.21299619965	1.58136492734
338.01099999999997	7.468999999999999	2.469	23.47	24.17	0.0	4.0	SS	23.47	12.549613361099999	10.9203866389
