onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.026	9.262	4.262	4348.3	4413.5	2.0	4.0	LL	4277.09374341	4271.28103018	5.8127132286
30.326999999999998	9.193000000000001	4.1930000000000005	3603.0	3639.0	0.0	4.0	SS	3603.0	3521.7382279	81.2617721013
48.545	8.511	3.511	4575.9	4804.7	0.0	2.0	LL	4575.9	4726.01989489	150.11989489299998
66.096	9.896	4.896	3035.9	3187.7	2.0	6.0	LL	2986.18515181	3036.06425169	49.8790998763
85.031	10.457	5.457000000000001	4508.9	4666.8	2.0	4.0	LL	4435.06381337	4516.41878592	81.35497255189999
104.516	9.828	4.828	5245.6	5324.2	0.0	2.0	LL	5245.6	5237.012742600001	8.5872573961
123.384	12.792000000000002	7.792000000000001	4508.3	4521.8	4.0	6.0	SS	4363.02623051	4306.70242911	56.3238014011
145.202	10.998	5.997999999999999	3624.0	3634.9	0.0	2.0	SS	3624.0	3575.37613502	48.6238649767
165.237	9.075	4.075	3666.6	3795.0	0.0	2.0	LL	3666.6	3732.85439281	66.2543928068
183.338	8.454	3.4539999999999997	4262.1	4326.0	0.0	2.0	LL	4262.1	4255.1589205	6.94107950406
200.822	8.978	3.978	3128.4	3131.5	0.0	2.0	SS	3128.4	3080.21963928	48.1803607182
218.84	11.736	6.736000000000001	3895.2	3992.5	4.0	6.0	SS	3769.68253512	3802.58070862	32.8981734952
239.608	10.176	5.176	4668.3	4715.0	2.0	6.0	SS	4591.85353411	4490.71209546	101.141438646
258.81	9.974	4.974	3657.0	3711.8	4.0	6.0	LL	3539.15820265	3535.23333106	3.9248715875
277.811	10.172999999999998	5.172999999999999	3516.3	3569.0	0.0	2.0	SS	3516.3	3510.55529063	5.74470937355
297.012	12.123999999999999	7.124	3966.9	4006.6	2.0	4.0	LL	3901.93941787	3877.49282328	24.4465945969
318.164	11.596	6.596	3750.6	3881.9	2.0	4.0	LL	3689.18147185	3756.81110934	67.62963749020001
338.798	8.97	3.97	3518.7	3553.9	0.0	4.0	SS	3518.7	3439.3804584	79.31954159680001
356.8	11.84	6.84	4489.5	4556.8	2.0	6.0	SS	4415.98150106	4340.037513600001	75.9439874603
377.668	10.404	5.404	3615.4	3669.6	4.0	6.0	SS	3498.89870545	3495.04074348	3.8579619734199997
