onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.04	9.256	4.256	4112.6	4124.9	2.0	4.0	SS	4045.25348507	3991.98076841	53.2727166601
30.325	9.355	4.355	4192.4	4339.2	0.0	4.0	LL	4192.4	4199.37524553	6.97524553392
48.71	11.29	6.29	3517.5	3535.1	4.0	6.0	SS	3404.15339836	3366.93877596	37.214622396799996
69.028	10.82	5.82	4701.3	4748.3	2.0	4.0	SS	4624.31313752	4595.29256046	29.0205770589
88.87899999999999	11.889	6.888999999999999	4661.3	4894.4	0.0	4.0	SS	4661.3	4736.68468882	75.3846888231
109.79700000000001	9.947	4.947	3557.9	3611.3	0.0	2.0	LL	3557.9	3552.16260046	5.73739954069
128.782	7.29	2.29	4421.7	4532.3	0.0	4.0	LL	4421.7	4386.25286351	35.4471364921
145.099	7.949	2.949	4635.4	4867.1	2.0	4.0	SS	4559.49229313	4710.26439379	150.772100664
162.084	8.436	3.4360000000000004	3968.7	4008.3	0.0	4.0	SS	3968.7	3879.13804311	89.5619568875
179.55200000000002	8.751999999999999	3.752	3846.0	3857.5	0.0	4.0	SS	3846.0	3733.19736579	112.80263420700001
197.33599999999998	8.68	3.68	4401.3	4511.3	4.0	6.0	LL	4259.47415841	4296.70190377	37.227745357399996
215.054	7.994	2.9939999999999998	3572.3	3661.7	0.0	2.0	LL	3572.3	3601.73726749	29.4372674942
232.08900000000003	8.983	3.983	4577.1	4600.0	2.0	6.0	SS	4502.14699376	4381.18253216	120.96446160100001
250.107	8.485	3.485	3915.0	3934.6	0.0	2.0	SS	3915.0	3870.1683515	44.8316485013
267.624	8.208	3.208	3235.0	3238.2	0.0	4.0	SS	3235.0	3133.85345688	101.14654312100001
284.85900000000004	9.085	4.085	4584.7	4745.2	4.0	6.0	LL	4436.96434555	4519.47551122	82.5111656694
302.97700000000003	7.855	2.855	3585.5	3675.2	0.0	2.0	LL	3585.5	3615.01619616	29.5161961643
319.861	8.579	3.5789999999999997	3160.9	3164.1	4.0	6.0	SS	3059.04434311	3013.58688044	45.4574626714
337.47900000000004	8.329	3.3289999999999997	5497.6	5690.1	4.0	6.0	LL	5320.447398100001	5419.42754918	98.9801510785
354.847	8.649	3.6489999999999996	4768.7	4935.6	2.0	4.0	LL	4690.60941844	4776.55707546	85.9476570254
