onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.034	8.23	3.23	30.19	37.74	4.0	6.0	SS	15.67533419	15.7978437031	0.122509513081
29.302	7.226	2.226	26.05	28.66	0.0	4.0	SS	26.05	14.8809234145	11.1690765855
45.553000000000004	7.407	2.407	5.14	5.4	2.0	6.0	SS	3.51338191074	2.2604227874	1.25295912334
61.986999999999995	7.468999999999999	2.469	36.45	41.92	0.0	4.0	SS	36.45	21.7658168017	14.6841831983
78.488	7.912	2.912	18.21	22.76	2.0	6.0	SS	12.4472149017	9.52726345209	2.91995144957
95.439	6.921	1.921	22.84	26.27	0.0	2.0	SS	22.84	17.9565258356	4.88347416438
111.391	7.417	2.417	22.56	30.46	0.0	2.0	LL	22.56	20.8205472765	1.73945272353
127.84200000000001	8.814	3.8139999999999996	17.14	23.14	2.0	4.0	SS	11.715829951400002	12.0148139502	0.298983998818
145.69299999999998	7.275	2.275	27.59	28.42	4.0	6.0	SS	14.3253550945	11.8965214107	2.42883368372
161.994	7.918	2.918	28.65	42.98	0.0	4.0	LL	28.65	22.3161928945	6.33380710549
178.945	8.695	3.695	29.7	40.1	4.0	6.0	LL	15.4209150527	16.7857321805	1.36481712777
196.68	7.568	2.568	22.41	33.62	2.0	6.0	SS	15.318071715899999	14.0732248356	1.24484688024
213.28099999999998	9.087	4.087	20.27	30.4	2.0	4.0	SS	13.855301815299999	15.784370963099999	1.92906914778
231.399	7.721	2.721	27.17	29.89	2.0	4.0	SS	18.571709438699997	15.5195673713	3.0521420674
248.15	7.098000000000001	2.0980000000000003	18.68	28.02	0.0	2.0	LL	18.68	19.1527161749	0.472716174876
264.284	7.116	2.116	5.89	5.95	2.0	6.0	SS	4.02603491328	2.4906510342700003	1.5353838790099998
280.435	7.629	2.6289999999999996	24.5	28.18	2.0	4.0	SS	16.7466647496	14.6316965046	2.11496824503
297.103	7.425	2.425	12.98	17.52	0.0	2.0	SS	12.98	11.9755741393	1.0044258606799998
313.55400000000003	7.006	2.006	20.44	21.46	2.0	6.0	SS	13.9715031625	8.98308759586	4.9884155666800005
329.589	7.3309999999999995	2.331	11.71	14.64	0.0	2.0	SS	11.71	10.0069866096	1.7030133904299998
