onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
2.008840918	3.064291054	initial_beads	15	15	7	n/a	n/a	n/a	-0.908549141821781	n/a
6.607410876	0	bet	15	15	7	n/a	high	left	n/a	n/a
9.295632219	3.048660791	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
12.392933537	1.214771556	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.89742428822289	-1.84935502257263
15.16574638	0	additional_draw_allowed	10	21	70	n/a	n/a	n/a	-1.89742428822289	-1.84935502257263
16.46298725	0	terminate_draw	10	21	70	n/a	n/a	right	-1.89742428822289	n/a
17.161751078	0	bet	10	21	70	n/a	low	right	n/a	n/a
21.168461547	3.045279632	initial_beads	13	7	70	n/a	n/a	n/a	-1.61038043399938	n/a
24.754937039	1.177909448	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.61038043399938	-1.67697607350893
26.986510664	0	additional_draw_allowed	14	7	70	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
27.604101411	0	terminate_draw	14	7	70	n/a	n/a	right	-1.61038043399938	n/a
27.996447958	0	bet	14	7	70	n/a	high	left	n/a	n/a
32.001561415	3.0486867	initial_beads	13	17	7	n/a	n/a	n/a	-1.32390665973505	n/a
36.09584171	1.16345829	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.32390665973505	-1.06156710675566
39.312892599	0	additional_draw_allowed	14	17	7	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
40.069081093	0	terminate_draw	14	17	7	n/a	n/a	right	-1.32390665973505	n/a
40.4417523	0	bet	14	17	7	n/a	low	right	n/a	n/a
44.948114131	3.051234443	initial_beads	11	19	7	n/a	n/a	n/a	-1.9678294270774	n/a
48.546082585	1.16142314299999	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.9678294270774	-1.94647871454116
51.763925122	0	additional_draw_allowed	11	20	7	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
53.051970879	0	terminate_draw	11	20	7	n/a	n/a	left	-1.9678294270774	n/a
53.452651047	0	bet	11	20	7	n/a	low	right	n/a	n/a
56.45313525	3.04556133300001	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
61.040245215	1.176769002	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
63.769556643	0	additional_draw_allowed	16	5	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
64.547629325	0	terminate_draw	16	5	7	n/a	n/a	left	-2.37553074021502	n/a
64.898771947	0	bet	16	5	7	n/a	high	left	n/a	n/a
68.903838198	3.048511484	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
72.498386725	1.178496065	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.32390665973505	-1.58833812291982
73.751049521	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.32390665973505	-1.58833812291982
74.657760554	0	terminate_draw	13	18	70	n/a	n/a	right	-1.32390665973505	n/a
75.02431599	0	bet	13	18	70	n/a	high	left	n/a	n/a
79.527364648	3.04552986200001	initial_beads	9	11	70	n/a	n/a	n/a	-0.869663288631855	n/a
83.67674753	0	bet	9	11	70	n/a	high	left	n/a	n/a
86.683052047	3.04890052900001	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
90.524882182	0	bet	12	18	7	n/a	low	right	n/a	n/a
94.031322892	3.045730843	initial_beads	12	8	7	n/a	n/a	n/a	-1.65295917478599	n/a
99.12033322	1.16853717799999	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.65295917478599	-1.58166614013995
101.841643992	0	additional_draw_allowed	12	9	7	n/a	n/a	n/a	-1.65295917478599	-1.58166614013995
102.757018738	0	terminate_draw	12	9	7	n/a	n/a	left	-1.65295917478599	n/a
103.075349857	0	bet	12	9	7	n/a	high	left	n/a	n/a
105.576867172	3.04577737800003	initial_beads	9	11	7	n/a	n/a	n/a	-0.869663288631855	n/a
110.664606054	1.16896340399998	extra_bead	n/a	n/a	7	low	n/a	n/a	-0.869663288631855	-1.06156710675566
113.385674352	0	additional_draw_allowed	9	12	7	n/a	n/a	n/a	-0.869663288631855	-1.06156710675566
114.048063164	0	terminate_draw	9	12	7	n/a	n/a	left	-0.869663288631855	n/a
114.344431799	0	bet	9	12	7	n/a	low	right	n/a	n/a
117.852996966	3.04903267899999	initial_beads	16	14	7	n/a	n/a	n/a	-1.39008283120292	n/a
121.946916092	1.16969589600001	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.39008283120292	-1.13178054515916
123.673596988	0	additional_draw_allowed	16	15	7	n/a	n/a	n/a	-1.39008283120292	-1.13178054515916
124.372129054	0	terminate_draw	16	15	7	n/a	n/a	left	-1.39008283120292	n/a
124.688274163	0	bet	16	15	7	n/a	high	left	n/a	n/a
127.196491668	3.04822815	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
131.040340434	0	bet	15	15	70	n/a	high	left	n/a	n/a
135.044413569	3.046203241	initial_beads	13	7	7	n/a	n/a	n/a	-1.61038043399938	n/a
138.132290635	1.15834170600002	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.61038043399938	-1.67697607350893
141.343745436	0	additional_draw_allowed	14	7	7	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
142.05688805	0	terminate_draw	14	7	7	n/a	n/a	right	-1.61038043399938	n/a
142.400900401	0	bet	14	7	7	n/a	high	left	n/a	n/a
146.906350115	3.05248645099999	initial_beads	7	13	7	n/a	n/a	n/a	-1.79961680670884	n/a
150.915671807	0	bet	7	13	7	n/a	low	right	n/a	n/a
154.416942161	3.04733069	initial_beads	8	12	7	n/a	n/a	n/a	-1.32390665973505	n/a
158.006277987	1.16027268300002	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.32390665973505	-1.58833812291982
160.218833849	0	additional_draw_allowed	8	13	7	n/a	n/a	n/a	-1.32390665973505	-1.58833812291982
160.84095121	0	terminate_draw	8	13	7	n/a	n/a	left	-1.32390665973505	n/a
161.113032594	0	bet	8	13	7	n/a	low	right	n/a	n/a
164.119353169	3.04589521100002	initial_beads	10	10	7	n/a	n/a	n/a	-0.908549141821781	n/a
167.902917849	0	bet	10	10	7	n/a	high	left	n/a	n/a
171.905870484	3.04609225199999	initial_beads	8	12	70	n/a	n/a	n/a	-1.32390665973505	n/a
175.677197657	0	bet	8	12	70	n/a	high	left	n/a	n/a
179.680053291	3.04489216600001	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
183.266052555	1.157404609	extra_bead	n/a	n/a	70	high	n/a	n/a	-2.37553074021502	-2.52253133076282
184.479125337	0	additional_draw_allowed	16	5	70	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
185.199642122	0	terminate_draw	16	5	70	n/a	n/a	left	-2.37553074021502	n/a
185.540424524	0	bet	16	5	70	n/a	high	left	n/a	n/a
190.100466948	3.04922809499999	initial_beads	19	11	70	n/a	n/a	n/a	-1.86417958275177	n/a
193.958358052	0	bet	19	11	70	n/a	high	left	n/a	n/a
196.996612472	3.04759792600001	initial_beads	20	10	7	n/a	n/a	n/a	-2.37553074021502	n/a
200.089592113	1.174159205	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
201.819068548	0	additional_draw_allowed	21	10	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
202.46612769	0	terminate_draw	21	10	7	n/a	n/a	left	-2.37553074021502	n/a
202.781780543	0	bet	21	10	7	n/a	high	left	n/a	n/a
205.790906924	3.049166063	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
209.826188295	0	bet	14	16	7	n/a	low	right	n/a	n/a
213.826120174	3.04483915200001	initial_beads	6	14	70	n/a	n/a	n/a	-1.9678294270774	n/a
217.912840504	1.15258926600001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.9678294270774	-1.94647871454116
219.61657251	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
220.279633982	0	terminate_draw	6	15	70	n/a	n/a	left	-1.9678294270774	n/a
220.552031891	0	bet	6	15	70	n/a	low	right	n/a	n/a
223.563824053	3.050355591	initial_beads	11	19	70	n/a	n/a	n/a	-1.9678294270774	n/a
228.660091279	1.15998490299998	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.9678294270774	-1.94647871454116
230.874404776	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
231.782801345	0	terminate_draw	11	20	70	n/a	n/a	left	-1.9678294270774	n/a
232.123546076	0	bet	11	20	70	n/a	low	right	n/a	n/a
234.627249337	3.05008540099999	initial_beads	20	10	70	n/a	n/a	n/a	-2.37553074021502	n/a
239.722911817	1.16257300699999	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
241.440749195	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
242.214602062	0	additional_draw	n/a	n/a	70	high	n/a	left	-2.37553074021502	n/a
242.982354136	0	terminate_draw	21	11	70	n/a	n/a	right	-2.37553074021502	n/a
243.325439007	0	bet	21	11	70	n/a	high	left	n/a	n/a
245.832046073	3.04991195700001	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
250.42843552	1.15902904800004	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.79961680670884	-1.58833812291982
253.6427252	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
254.432527413	0	terminate_draw	13	18	70	n/a	n/a	left	-1.79961680670884	n/a
254.718269154	0	bet	13	18	70	n/a	high	left	n/a	n/a
259.223768745	3.049941171	initial_beads	14	16	70	n/a	n/a	n/a	-0.869663288631855	n/a
263.131479929	0	bet	14	16	70	n/a	high	left	n/a	n/a
265.649634888	3.04993232700002	initial_beads	16	14	70	n/a	n/a	n/a	-1.39008283120292	n/a
269.427934568	0	bet	16	14	70	n/a	high	left	n/a	n/a
272.433723819	3.04921101399998	initial_beads	19	11	7	n/a	n/a	n/a	-1.86417958275177	n/a
277.528525109	1.16238553700003	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.86417958275177	-2.12751860353776
278.742313264	0	additional_draw_allowed	20	11	7	n/a	n/a	n/a	-1.86417958275177	-2.12751860353776
279.575890771	0	terminate_draw	20	11	7	n/a	n/a	left	-1.86417958275177	n/a
