onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.822895801	3.065543907	initial_beads	14	6	170	n/a	n/a	n/a	-1.81705013765952	n/a
4.958620559	1.381368638	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.81705013765952	-1.94997974047832
6.896906183	0	additional_draw_allowed	15	6	170	n/a	n/a	n/a	-1.81705013765952	-1.94997974047832
8.002954617	0	terminate_draw	15	6	170	n/a	n/a	right	-1.81705013765952	n/a
8.455547147	0	bet	15	6	170	n/a	high	left	n/a	n/a
11.681917411	3.045387798	initial_beads	5	15	170	n/a	n/a	n/a	-1.4925306317869	n/a
15.270583962	1.19962946	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.4925306317869	-1.57230111622249
18.023007025	0	additional_draw_allowed	5	16	170	n/a	n/a	n/a	-1.4925306317869	-1.57230111622249
18.90193503	0	terminate_draw	5	16	170	n/a	n/a	left	-1.4925306317869	n/a
19.320880543	0	bet	5	16	170	n/a	low	right	n/a	n/a
33.94186236	3.044581722	initial_beads	13	7	170	n/a	n/a	n/a	-1.49452550630108	n/a
37.528183876	1.15827615399999	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.49452550630108	-1.6643221650255
38.738247962	0	additional_draw_allowed	14	7	170	n/a	n/a	n/a	-1.49452550630108	-1.6643221650255
39.606213721	0	terminate_draw	14	7	170	n/a	n/a	right	-1.49452550630108	n/a
39.957088433	0	bet	14	7	170	n/a	high	left	n/a	n/a
43.459220877	3.04568088900001	initial_beads	9	11	170	n/a	n/a	n/a	0.0890658505832835	n/a
46.54590141	1.153575425	extra_bead	n/a	n/a	170	low	n/a	n/a	0.0890658505832835	0.0523930653842202
49.753442893	0	additional_draw_allowed	9	12	170	n/a	n/a	n/a	0.0890658505832835	0.0523930653842202
50.513313438	0	terminate_draw	9	12	170	n/a	n/a	right	0.0890658505832835	n/a
50.910660627	0	bet	9	12	170	n/a	high	left	n/a	n/a
54.953891866	3.05580932500001	initial_beads	10	20	70	n/a	n/a	n/a	-1.4925306317869	n/a
59.012443058	0	bet	10	20	70	n/a	low	right	n/a	n/a
62.584873472	3.049079511	initial_beads	19	11	70	n/a	n/a	n/a	-1.81705013765952	n/a
66.678946375	1.17478871200001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.81705013765952	-1.6643221650255
68.909623064	0	additional_draw_allowed	19	12	70	n/a	n/a	n/a	-1.81705013765952	-1.6643221650255
69.622389012	0	terminate_draw	19	12	70	n/a	n/a	left	-1.81705013765952	n/a
70.051242819	0	bet	19	12	70	n/a	high	left	n/a	n/a
73.556997578	3.045672357	initial_beads	7	13	170	n/a	n/a	n/a	-0.589627797957679	n/a
76.644087806	1.161412895	extra_bead	n/a	n/a	170	high	n/a	n/a	-0.589627797957679	-0.313754982757747
78.858331905	0	additional_draw_allowed	8	13	170	n/a	n/a	n/a	-0.589627797957679	-0.313754982757747
79.562679004	0	terminate_draw	8	13	170	n/a	n/a	left	-0.589627797957679	n/a
80.00208854	0	bet	8	13	170	n/a	high	left	n/a	n/a
82.506351579	3.046094978	initial_beads	11	9	170	n/a	n/a	n/a	-0.60879559985906	n/a
87.094194753	1.156857339	extra_bead	n/a	n/a	170	high	n/a	n/a	-0.60879559985906	-0.859880583731738
88.803404039	0	additional_draw_allowed	12	9	170	n/a	n/a	n/a	-0.60879559985906	-0.859880583731738
89.587530166	0	terminate_draw	12	9	170	n/a	n/a	right	-0.60879559985906	n/a
89.982976739	0	bet	12	9	170	n/a	high	left	n/a	n/a
92.994347381	3.04898821800001	initial_beads	18	12	70	n/a	n/a	n/a	-1.49452550630108	n/a
98.088138762	1.172566738	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.49452550630108	-1.6643221650255
99.817360368	0	additional_draw_allowed	19	12	70	n/a	n/a	n/a	-1.49452550630108	-1.6643221650255
100.737062624	0	terminate_draw	19	12	70	n/a	n/a	left	-1.49452550630108	n/a
101.155932708	0	bet	19	12	70	n/a	high	left	n/a	n/a
105.656743735	3.045814097	initial_beads	15	5	170	n/a	n/a	n/a	-2.05610688680499	n/a
109.744141195	1.16769283099998	extra_bead	n/a	n/a	170	high	n/a	n/a	-2.05610688680499	-2.1267270006725
110.976703945	0	additional_draw_allowed	16	5	170	n/a	n/a	n/a	-2.05610688680499	-2.1267270006725
111.789596235	0	terminate_draw	16	5	170	n/a	n/a	right	-2.05610688680499	n/a
112.257202947	0	bet	16	5	170	n/a	high	left	n/a	n/a
115.763457155	3.046528658	initial_beads	14	6	70	n/a	n/a	n/a	-1.81705013765952	n/a
119.6512159	0	bet	14	6	70	n/a	high	left	n/a	n/a
124.160152921	3.045919752	initial_beads	6	14	70	n/a	n/a	n/a	-1.138188793927	n/a
128.747426027	1.16394708299998	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.138188793927	-1.3478457800959
130.467668029	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.138188793927	-1.3478457800959
131.403098018	0	terminate_draw	6	15	70	n/a	n/a	left	-1.138188793927	n/a
131.800601301	0	bet	6	15	70	n/a	low	right	n/a	n/a
134.308510835	3.04794715899999	initial_beads	12	18	170	n/a	n/a	n/a	-0.589627797957679	n/a
139.401226612	1.17032879999999	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.589627797957679	-0.876610606661621
142.127790108	0	additional_draw_allowed	12	19	170	n/a	n/a	n/a	-0.589627797957679	-0.876610606661621
142.718854586	0	terminate_draw	12	19	170	n/a	n/a	left	-0.589627797957679	n/a
143.123061602	0	bet	12	19	170	n/a	low	right	n/a	n/a
147.134845913	3.04607914099998	initial_beads	14	16	170	n/a	n/a	n/a	0.0890658505832835	n/a
151.725832353	1.16992174999999	extra_bead	n/a	n/a	170	low	n/a	n/a	0.0890658505832835	0.0523930653842202
154.453333845	0	additional_draw_allowed	14	17	170	n/a	n/a	n/a	0.0890658505832835	0.0523930653842202
155.132973041	0	terminate_draw	14	17	170	n/a	n/a	right	0.0890658505832835	n/a
155.488696094	0	bet	14	17	170	n/a	high	left	n/a	n/a
158.490347353	3.04580495500002	initial_beads	10	10	70	n/a	n/a	n/a	-0.138966595832955	n/a
162.451321463	0	bet	10	10	70	n/a	high	left	n/a	n/a
166.95542755	3.04600252099999	initial_beads	11	9	70	n/a	n/a	n/a	-0.60879559985906	n/a
171.04344026	1.15931703699999	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.60879559985906	-0.359251370277085
172.755392271	0	additional_draw_allowed	11	10	70	n/a	n/a	n/a	-0.60879559985906	-0.359251370277085
173.480563658	0	terminate_draw	11	10	70	n/a	n/a	right	-0.60879559985906	n/a
173.913779628	0	bet	11	10	70	n/a	high	left	n/a	n/a
177.922698924	3.049930485	initial_beads	16	14	170	n/a	n/a	n/a	-0.60879559985906	n/a
181.018135249	1.156596804	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.60879559985906	-0.359251370277085
