onset	duration	trial_type	correct
0.0273	20	3	0
20.0071	2	1	0
24.007	2	1	1
29.007	2	1	1
36.0069	2	1	1
40.0068	2	1	0
45.0068	2	1	1
51.0067	2	1	1
63.0066	2	1	1
70.0065	2	1	1
76.0065	2	1	0
82.0064	2	1	0
89.0063	2	1	1
93.0062	2	1	1
103.0062	2	1	0
108.0062	2	1	1
115.0061	2	1	1
120.0064	2	2	0
126.006	2	2	0
133.0059	2	2	0
137.0059	2	2	1
141.0059	2	2	1
146.0058	2	2	1
158.0057	2	2	0
165.0056	2	2	1
170.0055	20	3	0
190.0054	2	2	0
194.0053	2	2	1
200.0053	2	2	1
207.0052	2	2	1
213.0051	2	2	0
220.0051	2	2	1
225.005	2	2	1
235.0049	2	2	1
240.0048	2	1	1
246.0047	2	1	1
257.0046	2	1	1
264.0045	2	1	1
270.0045	2	1	1
277.0044	2	1	1
281.0044	2	1	0
285.0043	2	1	1
290.0043	2	2	0
295.0043	2	2	0
302.0042	2	2	0
306.0042	2	2	0
312.0041	2	2	0
317.0041	2	2	1
323.004	2	2	1
333.0039	2	2	1
340.0038	20	3	0
