onset	duration	trial_type	correct
0.0248	20	3	0
20.005	2	2	1
25.0046	2	2	1
32.0046	2	2	1
39.0045	2	2	1
45.0045	2	2	1
57.0044	2	2	1
62.0044	2	2	1
66.0044	2	2	0
70.0043	2	2	0
74.0043	2	2	1
85.0042	2	2	1
92.0042	2	2	1
98.0041	2	2	1
105.0041	2	2	0
109.0041	2	2	1
115.004	2	2	1
120.004	2	1	1
125.0039	2	1	1
132.0039	2	1	1
139.0038	2	1	1
145.0038	2	1	1
155.0037	2	1	1
160.0037	2	1	1
164.0037	2	1	1
170.0036	20	3	0
190.0035	2	2	1
195.0035	2	2	1
202.0035	2	2	1
206.0034	2	2	1
212.0034	2	2	1
219.0033	2	2	0
231.0033	2	2	1
235.0032	2	2	1
240.0032	2	1	1
247.0031	2	1	1
251.0031	2	1	1
263.003	2	1	1
268.003	2	1	1
272.0029	2	1	1
279.0029	2	1	1
284.0029	2	1	1
290.0028	2	1	1
294.0028	2	1	1
299.0028	2	1	1
305.0027	2	1	1
311.0027	2	1	1
316.0026	2	1	1
320.0026	2	1	1
333.0025	2	1	1
340.0025	20	3	0
