onset	duration	trial_type	stimfile
0.00083686	15.016	fixation	unknown.txt
15.021	15.047	objects	unknown.txt
30.07	15.037	scenes	unknown.txt
45.109	15.005	scramobj	unknown.txt
60.116	15.027	faces	unknown.txt
75.144	15.005	fixation	unknown.txt
90.15	15.031	scenes	unknown.txt
105.18	15.04	objects	unknown.txt
120.23	15.031	faces	unknown.txt
135.26	15.008	scramobj	unknown.txt
150.27	15.015	fixation	unknown.txt
165.29	15.005	scramobj	unknown.txt
180.3	15.027	faces	unknown.txt
195.33	15.073	objects	unknown.txt
210.4	15.035	scenes	unknown.txt
225.44	15.016	fixation	unknown.txt
240.46	15.038	faces	unknown.txt
255.5	15.005	scramobj	unknown.txt
270.51	15.038	scenes	unknown.txt
285.55	15.061	objects	unknown.txt
300.61	15.016	fixation	unknown.txt
