onset	duration	trial_type	stimfile
341.08	2.5	room6	room6_cond1_A.mov
344.1	9.5	nullosevent	room4_cond0_B.mov
353.1	2.5	room1	room1_cond8_A.mov
356.12	5.5	nullosevent	room6_cond0_B.mov
361.1	2.5	room2	room2_cond7_A.mov
364.12	3.5	nullosevent	room8_cond0_B.mov
367.08	2.5	room7	room7_cond14_A_right.mov
370.1	7.5	nullosevent	room5_cond0_B.mov
377.1	2.5	room3	room3_cond10_A.mov
380.12	3.5	nullosevent	room7_cond0_B.mov
383.08	2.5	room4	room4_cond13_A_left.mov
386.07	3.5	nullosevent	room5_cond0_B.mov
389.08	2.5	room1	room1_cond4_A.mov
392.08	3.5	nullosevent	room3_cond0_B.mov
395.08	2.5	room6	room6_cond11_A_left.mov
398.11	3.5	nullosevent	room2_cond0_B.mov
401.08	2.5	room8	room8_cond5_A.mov
404.07	3.5	nullosevent	room2_cond0_B.mov
407.08	2.5	room1	room1_cond14_A_right.mov
410.1	3.5	nullosevent	room6_cond0_B.mov
413.08	2.5	room5	room5_cond12_A_right.mov
416.07	3.5	nullosevent	room7_cond0_B.mov
419.02	2.5	fix	fix
421.52	3.5	nullosevent	room8_cond0_B.mov
425.09	2.5	room3	room3_cond14_A_right.mov
428.1	3.5	nullosevent	room8_cond0_B.mov
431.08	2.5	room6	room6_cond6_A.mov
434.1	3.5	nullosevent	room7_cond0_B.mov
437.09	2.5	room5	room5_cond8_A.mov
440.09	3.5	nullosevent	room4_cond0_B.mov
443.02	2.5	fix	fix
445.52	3.5	nullosevent	room2_cond0_B.mov
449.08	2.5	room3	room3_cond10_A.mov
452.1	3.5	nullosevent	room7_cond0_B.mov
455.02	15	nullosevent	room4_cond0_A.mov
