onset	duration	trial_type	stimfile
0.00043757	15.016	fixation	unknown.txt
15.019	15.022	scenes	unknown.txt
30.043	15.005	scramobj	unknown.txt
45.05	15.061	objects	unknown.txt
60.112	15.031	faces	unknown.txt
75.145	15.016	fixation	unknown.txt
90.165	15.04	objects	unknown.txt
105.21	15.035	scenes	unknown.txt
120.24	15.025	faces	unknown.txt
135.27	15.005	scramobj	unknown.txt
150.28	15.018	fixation	unknown.txt
165.3	15.005	scramobj	unknown.txt
180.31	15.03	faces	unknown.txt
195.34	15.046	scenes	unknown.txt
210.39	15.056	objects	unknown.txt
225.45	15.015	fixation	unknown.txt
240.47	15.028	faces	unknown.txt
255.5	15.041	objects	unknown.txt
270.54	15.005	scramobj	unknown.txt
285.55	15.028	scenes	unknown.txt
300.58	15.013	fixation	unknown.txt
