onset	duration	trial_type	stimfile
0.02	15	nullosevent	room8_cond0_B.mov
15.08	2.5	room4	room4_cond9_A.mov
18.11	7.5	nullosevent	room5_cond0_B.mov
25.08	2.5	room1	room1_cond11_A_left.mov
28.1	5.5	nullosevent	room3_cond0_B.mov
33.08	2.5	room2	room2_cond3_A.mov
36.07	3.5	nullosevent	room6_cond0_B.mov
39.07	2.5	room7	room7_cond2_A.mov
42.09	5.5	nullosevent	room3_cond0_B.mov
47.08	2.5	room8	room8_cond4_A.mov
50.09	5.5	nullosevent	room1_cond0_B.mov
55.07	2.5	room7	room7_cond7_A.mov
58.07	3.5	nullosevent	room5_cond0_B.mov
61.07	2.5	room6	room6_cond6_A.mov
64.09	3.5	nullosevent	room4_cond0_B.mov
67.07	2.5	room2	room2_cond9_A.mov
70.09	3.5	nullosevent	room2_cond0_B.mov
73.09	2.5	room5	room5_cond12_A_right.mov
76.09	3.5	nullosevent	room6_cond0_B.mov
79.07	2.5	room4	room4_cond2_A.mov
82.06	3.5	nullosevent	room7_cond0_B.mov
85.07	2.5	room1	room1_cond9_A.mov
88.09	3.5	nullosevent	room3_cond0_B.mov
91.07	2.5	room8	room8_cond3_A.mov
94.1	3.5	nullosevent	room2_cond0_B.mov
97.08	2.5	room8	room8_cond8_A.mov
100.07	7.5	nullosevent	room7_cond0_B.mov
107.08	2.5	room3	room3_cond11_A_left.mov
110.11	3.5	nullosevent	room4_cond0_B.mov
113.08	2.5	room6	room6_cond1_A.mov
116.11	3.5	nullosevent	room5_cond0_B.mov
119.08	2.5	room1	room1_cond6_A.mov
122.11	3.5	nullosevent	room1_cond0_B.mov
125.09	2.5	room8	room8_cond10_A.mov
128.11	3.5	nullosevent	room2_cond0_B.mov
131.09	2.5	room3	room3_cond1_A.mov
134.11	3.5	nullosevent	room5_cond0_B.mov
137.01	2.5	fix	fix
139.51	3.5	nullosevent	room7_cond0_B.mov
143.09	2.5	room4	room4_cond3_A.mov
146.11	5.5	nullosevent	room5_cond0_B.mov
151.09	2.5	room1	room1_cond7_A.mov
154.07	3.5	nullosevent	room6_cond0_B.mov
157.07	2.5	room2	room2_cond3_A.mov
160.07	5.5	nullosevent	room8_cond0_B.mov
165.07	2.5	room4	room4_cond1_A.mov
168.09	3.5	nullosevent	room7_cond0_B.mov
171.09	2.5	room3	room3_cond2_A.mov
174.1	3.5	nullosevent	room6_cond0_B.mov
177.07	2.5	onebacktril	room3_cond2_A.mov
180.1	3.5	nullosevent	room2_cond0_B.mov
183.09	2.5	room7	room7_cond6_A.mov
186.1	3.5	nullosevent	room5_cond0_B.mov
189.09	2.5	room3	room3_cond4_A.mov
192.1	3.5	nullosevent	room8_cond0_B.mov
195.07	2.5	room1	room1_cond2_A.mov
198.1	3.5	nullosevent	room6_cond0_B.mov
201.09	2.5	room5	room5_cond5_A.mov
204.1	5.5	nullosevent	room3_cond0_B.mov
209.09	2.5	room4	room4_cond13_A_left.mov
212.08	3.5	nullosevent	room7_cond0_B.mov
215.09	2.5	room2	room2_cond8_A.mov
218.1	3.5	nullosevent	room1_cond0_B.mov
221.08	2.5	room8	room8_cond4_A.mov
224.09	5.5	nullosevent	room4_cond0_B.mov
229.09	2.5	room8	room8_cond9_A.mov
232.11	3.5	nullosevent	room7_cond0_B.mov
235.09	2.5	room5	room5_cond8_A.mov
238.08	5.5	nullosevent	room1_cond0_B.mov
243.11	2.5	room3	room3_cond13_A_left.mov
246.09	3.5	nullosevent	room6_cond0_B.mov
249.09	2.5	room2	room2_cond5_A.mov
252.11	3.5	nullosevent	room6_cond0_B.mov
255.09	2.5	room3	room3_cond10_A.mov
258.11	3.5	nullosevent	room4_cond0_B.mov
261.09	2.5	room8	room8_cond12_A_right.mov
264.07	3.5	nullosevent	room5_cond0_B.mov
267.07	2.5	room1	room1_cond7_A.mov
270.05	3.5	nullosevent	room7_cond0_B.mov
273.07	2.5	room2	room2_cond13_A_left.mov
276.07	3.5	nullosevent	room5_cond0_B.mov
279.09	2.5	room2	room2_cond10_A.mov
282.07	3.5	nullosevent	room6_cond0_B.mov
285.1	2.5	room4	room4_cond7_A.mov
288.1	3.5	nullosevent	room7_cond0_B.mov
291.07	2.5	room3	room3_cond1_A.mov
294.1	5.5	nullosevent	room1_cond0_B.mov
299.1	2.5	room8	room8_cond5_A.mov
302.1	3.5	nullosevent	room7_cond0_B.mov
305.09	2.5	room2	room2_cond11_A_left.mov
308.1	3.5	nullosevent	room5_cond0_B.mov
311.09	2.5	onebacktril	room2_cond11_A_left.mov
