onset	duration	trial_type	stimfile
0.02	15	nullosevent	room1_cond0_B.mov
15.09	2.5	room5	room5_cond7_A.mov
18.14	3.5	nullosevent	room3_cond0_B.mov
21.08	2.5	room6	room6_cond10_A.mov
24.1	3.5	nullosevent	room2_cond0_B.mov
27.08	2.5	room4	room4_cond6_A.mov
30.1	3.5	nullosevent	room7_cond0_B.mov
33.07	2.5	room8	room8_cond8_A.mov
36.07	3.5	nullosevent	room5_cond0_B.mov
39.07	2.5	room2	room2_cond4_A.mov
42.1	5.5	nullosevent	room6_cond0_B.mov
47.07	2.5	room1	room1_cond5_A.mov
50.08	7.5	nullosevent	room7_cond0_B.mov
57.08	2.5	room4	room4_cond12_A_right.mov
60.12	3.5	nullosevent	room3_cond0_B.mov
63.08	2.5	room8	room8_cond9_A.mov
66.1	3.5	nullosevent	room1_cond0_B.mov
69.08	2.5	room3	room3_cond2_A.mov
72.09	3.5	nullosevent	room5_cond0_B.mov
75.08	2.5	room4	room4_cond11_A_left.mov
78.1	9.5	nullosevent	room2_cond0_B.mov
87.08	2.5	room6	room6_cond3_A.mov
90.1	3.5	nullosevent	room8_cond0_B.mov
93.07	2.5	onebacktril	room6_cond3_A.mov
96.09	3.5	nullosevent	room4_cond0_B.mov
99.08	2.5	room3	room3_cond13_A_left.mov
102.07	3.5	nullosevent	room1_cond0_B.mov
105.07	2.5	room5	room5_cond6_A.mov
108.07	3.5	nullosevent	room8_cond0_B.mov
111.07	2.5	room6	room6_cond10_A.mov
114.1	5.5	nullosevent	room7_cond0_B.mov
119.08	2.5	room2	room2_cond9_A.mov
122.1	9.5	nullosevent	room3_cond0_B.mov
131.08	2.5	room6	room6_cond13_A_left.mov
134.1	3.5	nullosevent	room5_cond0_B.mov
137.07	2.5	room4	room4_cond9_A.mov
140.07	3.5	nullosevent	room1_cond0_B.mov
143.08	2.5	room2	room2_cond5_A.mov
146.1	7.5	nullosevent	room8_cond0_B.mov
153.08	2.5	room7	room7_cond1_A.mov
156.1	3.5	nullosevent	room6_cond0_B.mov
159.08	2.5	room2	room2_cond6_A.mov
162.1	3.5	nullosevent	room8_cond0_B.mov
165.06	2.5	room5	room5_cond11_A_left.mov
168.08	3.5	nullosevent	room1_cond0_B.mov
171.08	2.5	room3	room3_cond13_A_left.mov
174.06	3.5	nullosevent	room4_cond0_B.mov
177.08	2.5	room7	room7_cond14_A_right.mov
