onset	duration	trial_type	stimfile
0.00030511	15.012	fixation	unknown.txt
15.016	15.071	scenes	unknown.txt
30.089	15.008	scramobj	unknown.txt
45.098	15.04	faces	unknown.txt
60.14	15.108	objects	unknown.txt
75.253	15.012	fixation	unknown.txt
90.268	15.076	objects	unknown.txt
105.35	15.043	faces	unknown.txt
120.39	15.005	scramobj	unknown.txt
135.4	15.03	scenes	unknown.txt
150.43	15.013	fixation	unknown.txt
165.45	15.037	scenes	unknown.txt
180.49	15.005	scramobj	unknown.txt
195.49	15.024	faces	unknown.txt
210.52	15.078	objects	unknown.txt
225.6	15.007	fixation	unknown.txt
240.61	15.111	objects	unknown.txt
255.73	15.021	faces	unknown.txt
270.75	15.005	scramobj	unknown.txt
285.76	15.045	scenes	unknown.txt
300.8	15.007	fixation	unknown.txt
