onset	duration	color	contrast
0	14	0	0.0
14	14	2	0.1
28	14	0	0.0
42	14	7	0.95
56	14	0	0.0
70	14	6	0.1
84	14	0	0.0
98	14	4	0.5
112	14	0	0.0
126	14	9	0.3
140	14	0	0.0
154	14	1	0.3
168	14	0	0.0
182	14	3	0.95
196	14	0	0.0
210	14	5	0.3
224	14	0	0.0
238	14	8	0.5
252	14	0	0.0
