onset	duration	color	contrast
0	14	0	0.0
14	14	1	0.95
28	14	0	0.0
42	14	8	0.1
56	14	0	0.0
70	14	2	0.5
84	14	0	0.0
98	14	7	0.3
112	14	0	0.0
126	14	9	0.95
140	14	0	0.0
154	14	3	0.3
168	14	0	0.0
182	14	6	0.5
196	14	0	0.0
210	14	4	0.1
224	14	0	0.0
238	14	5	0.95
252	14	0	0.0
