onset	duration	RT	accuracy
18.033	3.333	1.666	1
21.374	3.333	1.648	1
24.715	3.333	1.476	1
28.056	3.333	1.474	1
31.396	3.333	2.299	1
34.737	3.333	1.994	1
56.091	3.333	2.172	0
59.431	3.333	2.063	0
62.772	3.333	1.785	0
66.113	3.333	1.726	1
69.454	3.333	2.247	1
72.795	3.333	2.478	1
94.148	3.333	2.19	1
97.489	3.333	1.319	1
100.83	3.333	1.384	1
104.171	3.333	2.018	1
107.512	3.333	1.326	1
110.853	3.333	1.609	1
132.206	3.333	1.75	1
135.547	3.333	1.507	1
138.888	3.333	1.642	1
142.229	3.333	1.128	1
145.569	3.333	1.318	1
148.91	3.333	2.017	1
170.264	3.333	1.757	1
173.605	3.333	1.73	1
176.945	3.333	1.35	1
180.286	3.333	1.425	1
183.627	3.333	1.595	1
186.968	3.333	1.989	1
208.321	3.333	1.707	1
211.662	3.333	1.71	1
215.003	3.333	1.913	1
218.344	3.333	1.176	1
221.685	3.333	1.47	1
225.026	3.333	1.556	1
246.379	3.333	1.678	1
249.72	3.333	1.967	1
253.061	3.333	1.719	1
256.402	3.333	1.422	1
259.743	3.333	1.412	1
263.083	3.333	1.196	1
284.437	3.333	1.749	1
287.778	3.333	1.383	1
291.119	3.333	2.481	1
294.459	3.333	1.414	1
297.8	3.333	1.627	1
301.141	3.333	1.945	1
322.494	3.333	1.257	1
325.835	3.333	1.109	1
329.176	3.333	1.595	1
332.517	3.333	1.887	1
335.858	3.333	1.376	1
339.199	3.333	1.538	1
360.552	3.333	1.187	1
363.893	3.333	1.775	1
367.234	3.333	1.765	1
370.575	3.333	1.28	1
373.916	3.333	2.061	1
377.257	3.333	0.983	1
398.61	3.333	1.258	1
401.951	3.333	1.267	1
405.292	3.333	1.111	1
408.632	3.333	1.282	1
411.973	3.333	1.501	1
415.314	3.333	1.625	1
436.668	3.333	1.405	1
440.008	3.333	1.93	1
443.349	3.333	1.37	1
446.69	3.333	2.171	1
450.031	3.333	1.431	1
453.372	3.333	1.824	1
