onset	duration	RT	accuracy
18.241	6.7	0.284	1
24.915	6.7	0.494	0
31.588	6.7	0.319	1
56.482	6.7	0.583	1
63.156	6.7	0.243	1
69.829	6.7	0.294	1
94.723	6.7	0.434	1
101.397	6.7	0.318	1
108.07	6.7	0.376	1
132.964	6.7	0.36	1
139.638	6.7	0.894	1
146.311	6.7	0.335	1
171.205	6.7	0.418	1
177.879	6.7	0.316	1
184.552	6.7	0.572	1
209.446	6.7	0.403	1
216.12	6.7	0.294	1
222.793	6.7	0.368	1
247.687	6.7	0.582	1
254.361	6.7	0.368	1
261.034	6.7	0.432	1
285.928	6.7	0.356	0
292.602	6.7	0.305	1
299.275	6.7	0.483	1
324.169	6.7	0.349	1
330.843	6.7	0.486	1
337.516	6.7	0.333	1
362.41	6.7	0.391	1
369.084	6.7	0.298	1
375.757	6.7	0.371	1
400.651	6.7	0.734	1
407.325	6.7	0.334	1
413.998	6.7	0.382	1
438.892	6.7	0.341	1
445.566	6.7	0.671	1
452.239	6.7	0.448	1
