onset	duration	RT	accuracy
18.036	3.333	0.917	1
21.377	3.333	0.869	1
24.717	3.333	1.006	1
28.058	3.333	0.742	1
31.399	3.333	0.81	1
34.74	3.333	0.777	1
56.093	3.333	0.776	1
59.434	3.333	0.774	1
62.775	3.333	0.627	1
66.116	3.333	0.692	1
69.457	3.333	0.921	1
72.798	3.333	0.855	1
94.151	3.333	0.687	1
97.492	3.333	0.734	1
100.833	3.333	0.905	1
104.174	3.333	0.862	1
107.515	3.333	0.648	1
110.855	3.333	0.94	1
132.209	3.333	1.239	1
135.55	3.333	1.033	1
138.891	3.333	0.951	1
142.231	3.333	0.793	1
145.572	3.333	0.79	1
148.913	3.333	0.814	1
170.266	3.333	0.881	1
173.607	3.333	0.835	1
176.948	3.333	0.772	1
180.289	3.333	0.779	1
183.63	3.333	1.037	1
186.971	3.333	0.783	1
208.324	3.333	0.671	1
211.665	3.333	0.68	1
215.006	3.333	0.739	1
218.347	3.333	1.026	1
221.688	3.333	0.97	1
225.029	3.333	0.815	1
246.382	3.333	0.748	1
249.723	3.333	0.694	1
253.064	3.333	1.145	1
256.404	3.333	0.599	1
259.745	3.333	0.756	1
263.086	3.333	0.837	1
284.44	3.333	0.799	1
287.78	3.333	0.632	1
291.121	3.333	0.874	1
294.462	3.333	0.703	1
297.803	3.333	0.693	1
301.144	3.333	0.73	1
322.497	3.333	0.674	1
325.838	3.333	0.682	1
329.179	3.333	2.332	1
332.52	3.333	0.834	1
335.861	3.333	0.726	1
339.202	3.333	1.027	1
360.555	3.333	0.895	1
363.896	3.333	0.785	1
367.237	3.333	0.86	1
370.578	3.333	0.9	1
373.918	3.333	0.936	1
377.259	3.333	0.786	1
398.613	3.333	1.101	1
401.953	3.333	0.758	1
405.294	3.333	0.712	1
408.635	3.333	0.819	1
411.976	3.333	0.73	1
415.317	3.333	0.657	1
436.67	3.333	0.807	1
440.011	3.333	0.693	1
443.352	3.333	0.671	1
446.693	3.333	0.792	1
450.034	3.333	0.672	1
453.375	3.333	0.913	1
