onset	duration	RT	accuracy
18.022	3.333	1.978	1
21.43	3.333	2.247	1
24.77	3.333	1.934	1
28.111	3.333	2.295	1
31.452	3.333	1.482	0
34.793	3.333	2.352	1
56.146	3.333	1.754	1
59.487	3.333	1.536	1
62.828	3.333	2.421	1
66.169	3.333	2.059	0
69.51	3.333	NaN	NaN
72.851	3.333	0.578	1
94.204	3.333	2.473	1
97.545	3.333	3.298	1
100.886	3.333	0.01	0
104.227	3.333	2.747	1
107.718	3.333	2.387	1
111.058	3.333	2.576	1
132.412	3.333	2.77	1
135.753	3.333	2.911	1
139.093	3.333	2.24	0
142.434	3.333	3.156	1
145.775	3.333	0.039	0
149.116	3.333	NaN	NaN
170.469	3.333	2.062	1
173.81	3.333	NaN	NaN
177.151	3.333	0.575	0
182.808	3.333	0.174	1
186.149	3.333	2.289	1
189.49	3.333	1.931	1
210.843	3.333	2.883	1
214.967	3.333	3.06	1
218.308	3.333	NaN	NaN
221.649	3.333	0.438	0
224.99	3.333	0.004	0
228.331	3.333	3.033	1
249.684	3.333	2.321	1
253.025	3.333	2.123	1
256.366	3.333	2.36	1
259.707	3.333	NaN	NaN
263.047	3.333	0.208	1
269.013	3.333	2.406	1
290.366	3.333	2.327	1
293.707	3.333	1.898	1
297.048	3.333	2.543	1
300.389	3.333	NaN	NaN
303.73	3.333	0.554	1
307.254	3.333	0.009	0
328.607	3.333	2.022	1
331.948	3.333	3.057	1
335.289	3.333	2.848	1
338.63	3.333	NaN	NaN
341.971	3.333	0.885	1
345.312	3.333	2.034	1
366.665	3.333	0.008	0
371.097	3.333	2.366	1
374.438	3.333	2.947	1
377.779	3.333	1.989	1
381.12	3.333	1.848	0
384.461	3.333	2.119	1
405.814	3.333	2.344	1
409.155	3.333	1.773	1
413.304	3.333	1.942	1
416.645	3.333	2.607	1
419.986	3.333	2.673	1
423.326	3.333	2.335	1
444.68	3.333	2.451	1
448.021	3.333	2.909	0
451.362	3.333	2.724	1
454.702	3.333	2.483	1
458.043	3.333	3.178	1
461.667	3.333	2.906	1
