onset	duration	trial_type	nback-nontarget	response_time
27.5	0.957683	nback-nontarget	-0.268293	0.0
35.0	0.957683	nback-nontarget	-0.268293	0.0
40.0	0.957683	nback-nontarget	0.731707	0.0
42.5	0.957683	nback-nontarget	-0.268293	0.0
50.0	0.957683	nback-nontarget	-0.268293	0.0
62.5	0.957683	nback-nontarget	-0.268293	0.0
65.0	0.957683	nback-nontarget	-0.268293	0.0
72.5	0.957683	nback-nontarget	-0.268293	0.0
77.5	0.957683	nback-nontarget	0.731707	0.0
80.0	0.957683	nback-nontarget	-0.268293	0.0
87.5	0.957683	nback-nontarget	0.731707	0.0
95.0	0.957683	nback-nontarget	-0.268293	0.0
100.0	0.957683	nback-nontarget	0.731707	0.0
102.5	0.957683	nback-nontarget	-0.268293	0.0
110.0	0.957683	nback-nontarget	-0.268293	0.0
115.0	0.957683	nback-nontarget	0.731707	0.0
122.5	0.957683	nback-nontarget	-0.268293	0.0
125.0	0.957683	nback-nontarget	-0.268293	0.0
180.0	0.957683	nback-nontarget	-0.268293	0.0
185.0	0.957683	nback-nontarget	-0.268293	0.0
187.5	0.957683	nback-nontarget	0.731707	0.0
195.0	0.957683	nback-nontarget	-0.268293	0.0
202.5	0.957683	nback-nontarget	-0.268293	0.0
207.5	0.957683	nback-nontarget	-0.268293	0.0
210.0	0.957683	nback-nontarget	-0.268293	0.0
212.5	0.957683	nback-nontarget	-0.268293	0.0
225.0	0.957683	nback-nontarget	-0.268293	0.0
232.5	0.957683	nback-nontarget	-0.268293	0.0
237.5	0.957683	nback-nontarget	0.731707	0.0
240.0	0.957683	nback-nontarget	-0.268293	0.0
247.5	0.957683	nback-nontarget	0.731707	0.0
252.5	0.957683	nback-nontarget	-0.268293	0.0
255.0	0.957683	nback-nontarget	-0.268293	0.0
260.0	0.957683	nback-nontarget	-0.268293	0.0
262.5	0.957683	nback-nontarget	0.731707	0.0
275.0	0.957683	nback-nontarget	-0.268293	0.0
282.5	0.957683	nback-nontarget	-0.268293	0.0
