onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
8.151	0.001	Stimulus/S 95	4	8151
9.68	0.001	Stimulus/S 21	3	9680
10.688	0.001	Stimulus/S125	18	10688
11.705	0.001	Stimulus/S225	34	11705
14.799	0.001	Stimulus/S 95	4	14799
16.322	0.001	Stimulus/S 11	2	16322
17.331	0.001	Stimulus/S115	10	17331
18.348	0.001	Stimulus/S215	26	18348
23.112	0.001	Stimulus/S 95	4	23112
24.64	0.001	Stimulus/S 21	3	24640
25.649	0.001	Stimulus/S128	21	25649
26.666	0.001	Stimulus/S228	37	26666
29.884	0.001	Stimulus/S 95	4	29884
31.408	0.001	Stimulus/S 21	3	31408
32.417	0.001	Stimulus/S125	18	32417
33.434	0.001	Stimulus/S225	34	33434
38.033	0.001	Stimulus/S 95	4	38033
39.56	0.001	Stimulus/S 11	2	39560
40.568	0.001	Stimulus/S114	9	40568
41.585	0.001	Stimulus/S214	25	41585
44.895	0.001	Stimulus/S 95	4	44895
46.419	0.001	Stimulus/S 11	2	46419
47.428	0.001	Stimulus/S116	11	47428
48.445	0.001	Stimulus/S216	27	48445
52.778	0.001	Stimulus/S 95	4	52778
54.304	0.001	Stimulus/S 21	3	54304
55.312	0.001	Stimulus/S121	14	55312
56.329	0.001	Stimulus/S221	30	56329
61.254	0.001	Stimulus/S 95	4	61254
62.78	0.001	Stimulus/S 21	3	62780
63.789	0.001	Stimulus/S126	19	63789
64.806	0.001	Stimulus/S226	35	64806
67.928	0.001	Stimulus/S 95	4	67928
69.457	0.001	Stimulus/S 21	3	69457
70.465	0.001	Stimulus/S122	15	70465
71.482	0.001	Stimulus/S222	31	71482
75.866	0.001	Stimulus/S 95	4	75866
77.391	0.001	Stimulus/S 21	3	77391
78.4	0.001	Stimulus/S125	18	78400
79.417	0.001	Stimulus/S225	34	79417
83.764	0.001	Stimulus/S 95	4	83764
85.293	0.001	Stimulus/S 21	3	85293
86.301	0.001	Stimulus/S124	17	86301
87.318	0.001	Stimulus/S224	33	87318
91.718	0.001	Stimulus/S 95	4	91718
93.244	0.001	Stimulus/S 21	3	93244
94.253	0.001	Stimulus/S121	14	94253
95.27	0.001	Stimulus/S221	30	95270
99.612	0.001	Stimulus/S 95	4	99612
101.137	0.001	Stimulus/S 21	3	101137
102.146	0.001	Stimulus/S128	21	102146
103.163	0.001	Stimulus/S228	37	103163
106.27	0.001	Stimulus/S 95	4	106270
107.797	0.001	Stimulus/S 21	3	107797
108.805	0.001	Stimulus/S127	20	108805
109.822	0.001	Stimulus/S227	36	109822
112.874	0.001	Stimulus/S 95	4	112874
114.398	0.001	Stimulus/S 11	2	114398
115.406	0.001	Stimulus/S118	13	115406
116.423	0.001	Stimulus/S218	29	116423
122.19	0.001	Stimulus/S 95	4	122190
123.716	0.001	Stimulus/S 11	2	123716
124.725	0.001	Stimulus/S117	12	124725
125.742	0.001	Stimulus/S217	28	125742
130.29	0.001	Stimulus/S 95	4	130290
131.818	0.001	Stimulus/S 11	2	131818
132.826	0.001	Stimulus/S118	13	132826
133.843	0.001	Stimulus/S218	29	133843
137.068	0.001	Stimulus/S 95	4	137068
138.594	0.001	Stimulus/S 11	2	138594
139.602	0.001	Stimulus/S115	10	139602
140.619	0.001	Stimulus/S215	26	140619
143.703	0.001	Stimulus/S 95	4	143703
145.228	0.001	Stimulus/S 11	2	145228
146.237	0.001	Stimulus/S112	7	146237
147.254	0.001	Stimulus/S212	23	147254
153.57	0.001	Stimulus/S 95	4	153570
155.097	0.001	Stimulus/S 11	2	155097
156.105	0.001	Stimulus/S115	10	156105
157.122	0.001	Stimulus/S215	26	157122
160.298	0.001	Stimulus/S 95	4	160298
161.823	0.001	Stimulus/S 21	3	161823
