onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	easy	1.0	0.371	task-Num/dot3_12-17.bmp	task-Num/dot3_36-41.bmp
4.012	4.012	hard	1.0	0.534	task-Num/dot3_36-100.bmp	task-Num/dot3_24-28.bmp
8.024	4.814	medium	1.0	0.341	task-Num/dot3_18-13.bmp	task-Num/dot3_36-61.bmp
12.838	4.012000000000002	medium	1.0	0.43	task-Num/dot3_18-16.bmp	task-Num/dot3_36-64.bmp
16.85	4.011999999999997	medium	0.0	0.43	task-Num/dot3_18-17.bmp	task-Num/dot3_36-65.bmp
20.862	3.0090000000000003	control	1.0	0.526	n/a	BLUEbox.bmp
23.871	4.815000000000001	medium	1.0	0.579	task-Num/dot3_36-78.bmp	task-Num/dot3_18-30.bmp
28.686	4.0120000000000005	hard	0.0	0.798	task-Num/dot3_36-97.bmp	task-Num/dot3_24-25.bmp
32.698	3.811	control	1.0	0.518	n/a	BLUEbox.bmp
36.509	3.0090000000000003	control	1.0	0.427	n/a	BLUEbox.bmp
39.518	3.0090000000000003	control	1.0	0.507	n/a	BLUEbox.bmp
42.527	4.0120000000000005	easy	1.0	0.315	task-Num/dot3_12-16.bmp	task-Num/dot3_36-40.bmp
46.539	4.412999999999997	medium	1.0	0.39	task-Num/dot3_18-14.bmp	task-Num/dot3_36-62.bmp
50.952	4.0120000000000005	easy	1.0	0.369	task-Num/dot3_36-51.bmp	task-Num/dot3_12-27.bmp
54.964	3.0090000000000003	control	1.0	0.517	n/a	BLUEbox.bmp
57.973	4.0120000000000005	hard	1.0	0.396	task-Num/dot3_24-17.bmp	task-Num/dot3_36-89.bmp
61.985	3.8119999999999976	control	1.0	0.512	n/a	BLUEbox.bmp
65.797	4.412999999999997	hard	1.0	0.394	task-Num/dot3_24-16.bmp	task-Num/dot3_36-88.bmp
70.21	4.814000000000007	medium	1.0	0.624	task-Num/dot3_36-74.bmp	task-Num/dot3_18-26.bmp
75.024	4.0120000000000005	easy	1.0	0.3	task-Num/dot3_12-15.bmp	task-Num/dot3_36-39.bmp
79.036	3.4099999999999966	control	1.0	0.478	n/a	BLUEbox.bmp
82.446	4.814999999999998	hard	1.0	0.393	task-Num/dot3_24-18.bmp	task-Num/dot3_36-90.bmp
87.261	4.0120000000000005	hard	1.0	0.384	task-Num/dot3_36-99.bmp	task-Num/dot3_24-27.bmp
91.273	3.410000000000011	control	1.0	0.466	n/a	BLUEbox.bmp
94.683	4.813999999999993	easy	1.0	0.383	task-Num/dot3_36-50.bmp	task-Num/dot3_12-26.bmp
99.497	4.412999999999997	hard	1.0	0.372	task-Num/dot3_24-13.bmp	task-Num/dot3_36-85.bmp
103.91	4.0120000000000005	medium	1.0	0.338	task-Num/dot3_18-18.bmp	task-Num/dot3_36-66.bmp
107.922	4.814999999999998	hard	1.0	0.465	task-Num/dot3_36-98.bmp	task-Num/dot3_24-26.bmp
112.737	3.410000000000011	control	1.0	0.637	n/a	BLUEbox.bmp
116.147	4.813999999999993	hard	1.0	0.396	task-Num/dot3_36-102.bmp	task-Num/dot3_24-30.bmp
120.961	3.8119999999999976	control	1.0	0.458	n/a	BLUEbox.bmp
124.773	3.4099999999999966	control	1.0	0.461	n/a	BLUEbox.bmp
128.183	4.413000000000011	medium	1.0	0.396	task-Num/dot3_36-73.bmp	task-Num/dot3_18-25.bmp
132.596	4.813999999999993	medium	1.0	0.612	task-Num/dot3_36-77.bmp	task-Num/dot3_18-29.bmp
137.41	4.814999999999998	easy	1.0	0.223	task-Num/dot3_12-18.bmp	task-Num/dot3_36-42.bmp
142.225	4.413000000000011	easy	1.0	0.566	task-Num/dot3_36-52.bmp	task-Num/dot3_12-28.bmp
146.638	4.813999999999993	easy	1.0	0.406	task-Num/dot3_36-54.bmp	task-Num/dot3_12-30.bmp
151.452	4.814999999999998	hard	1.0	0.354	task-Num/dot3_24-14.bmp	task-Num/dot3_36-86.bmp
156.267	4.813999999999993	medium	1.0	0.429	task-Num/dot3_36-76.bmp	task-Num/dot3_18-28.bmp
161.081	4.413000000000011	medium	1.0	0.389	task-Num/dot3_36-75.bmp	task-Num/dot3_18-27.bmp
165.494	4.413999999999987	easy	1.0	0.257	task-Num/dot3_12-13.bmp	task-Num/dot3_36-37.bmp
169.908	3.811000000000007	control	1.0	0.512	n/a	BLUEbox.bmp
173.719	4.413000000000011	hard	1.0	0.44	task-Num/dot3_24-15.bmp	task-Num/dot3_36-87.bmp
178.132	4.4129999999999825	easy	1.0	0.345	task-Num/dot3_36-49.bmp	task-Num/dot3_12-25.bmp
182.545	4.414000000000016	medium	1.0	0.46	task-Num/dot3_18-15.bmp	task-Num/dot3_36-63.bmp
186.959	4.413000000000011	easy	0.0	0.345	task-Num/dot3_12-14.bmp	task-Num/dot3_36-38.bmp
191.372	4.813999999999993	easy	1.0	0.382	task-Num/dot3_36-53.bmp	task-Num/dot3_12-29.bmp
196.186	4.4	hard	1.0	0.407	task-Num/dot3_36-101.bmp	task-Num/dot3_24-29.bmp
