onset	duration	trial	value	instruction
17961	6	1	1	rest
23903	1	1	2	ready
24904	6	1	3	task
30917	8	1	4	interval
38944	6	2	1	rest
44923	1	2	2	ready
45932	6	2	3	task
51903	8	2	4	interval
59934	6	3	1	rest
65898	1	3	2	ready
66911	6	3	3	task
72923	8	3	4	interval
80941	6	4	1	rest
86927	1	4	2	ready
87901	6	4	3	task
93904	8	4	4	interval
101952	6	5	1	rest
107921	1	5	2	ready
108926	6	5	3	task
114907	8	5	4	interval
122945	6	6	1	rest
128938	1	6	2	ready
129907	6	6	3	task
135906	8	6	4	interval
143950	6	7	1	rest
149945	1	7	2	ready
150934	6	7	3	task
156932	8	7	4	interval
164951	6	8	1	rest
170939	1	8	2	ready
171938	6	8	3	task
177916	8	8	4	interval
185949	6	9	1	rest
191912	1	9	2	ready
192930	6	9	3	task
198914	8	9	4	interval
206954	6	10	1	rest
212915	1	10	2	ready
213915	6	10	3	task
219917	8	10	4	interval
227952	6	11	1	rest
233915	1	11	2	ready
234928	6	11	3	task
240915	8	11	4	interval
248960	6	12	1	rest
254921	1	12	2	ready
255929	6	12	3	task
261918	8	12	4	interval
269962	6	13	1	rest
275922	1	13	2	ready
276924	6	13	3	task
282929	8	13	4	interval
290955	6	14	1	rest
296927	1	14	2	ready
297923	6	14	3	task
303924	8	14	4	interval
311959	6	15	1	rest
317923	1	15	2	ready
318942	6	15	3	task
324938	8	15	4	interval
332968	6	16	1	rest
338956	1	16	2	ready
339922	6	16	3	task
345951	8	16	4	interval
353966	6	17	1	rest
359944	1	17	2	ready
360928	6	17	3	task
366927	8	17	4	interval
374963	6	18	1	rest
380946	1	18	2	ready
381931	6	18	3	task
387930	8	18	4	interval
395972	6	19	1	rest
401928	1	19	2	ready
402952	6	19	3	task
408933	8	19	4	interval
416980	6	20	1	rest
422949	1	20	2	ready
423957	6	20	3	task
429962	8	20	4	interval
