onset	duration	bloc_type	bloc_typeCode
5.012823	11.25	Scrambled 	4
16.26299	11.25	Scrambled 	4
27.51312	11.25	Objects 	3
38.76358	11.25	Faces 	1
50.01557	11.25	Objects 	3
61.26754	11.25	Objects 	3
72.51959	11.25	Scenes 	2
83.76405	11.25	Scrambled 	4
95.01415	11.25	Faces 	1
106.2643	11.25	Scenes 	2
117.5145	11.25	Faces 	1
128.7647	11.25	Faces 	1
140.0149	11.25	Scrambled 	4
151.2668	11.25	Scenes 	2
162.5188	11.25	Scenes 	2
173.7655	11.25	Objects 	3
185.0156	11.25	Baseline 	0
