onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.017525	3.016687	summ	-0.999	Fa2_2323.jpg	90	90
11.01387	3.04623	rating	-0.999	Fa2_2323.jpg	90	90
22.01779	3.01665	summ	-0.999	Fa2_2223.jpg	70.5	70
32.51373	3.03728	rating	-0.999	Fa2_2223.jpg	70.5	70
42.51806	3.01676	conj	-0.999	Fa3_1311.jpg	79.5	80
51.51359	3.03765	rating	-0.999	Fa3_1311.jpg	79.5	80
58.51825	3.01688	summ	-0.999	Fa2_2323.jpg	88.5	90
67.51394	3.03914999999999	rating	-0.999	Fa2_2323.jpg	88.5	90
74.51851	3.0167	conj	-0.999	Fa3_1111.jpg	24.75	30
83.5139	3.04191999999999	rating	-0.999	Fa3_1111.jpg	24.75	30
91.01849	3.01690000000001	conj	-0.999	Fa3_1311.jpg	79.5	80
99.01237	3.04622999999999	rating	-0.999	Fa3_1311.jpg	79.5	80
107.0188	3.0166	summ	-0.999	Fa2_2122.jpg	52.5	50
118.0137	3.0385	rating	-0.999	Fa2_2122.jpg	52.5	50
128.5135	3.0171	summ	-0.999	Fa2_2223.jpg	69.75	70
139.0138	3.0386	rating	-0.999	Fa2_2223.jpg	69.75	70
148.0168	3.0172	conj	-0.999	Fa3_1221.jpg	40.5	40
158.5154	3.03720000000001	rating	-0.999	Fa3_1221.jpg	40.5	40
166.0031	3.01730000000001	conj	-0.999	Fa3_1231.jpg	70.5	70
173.5139	3.04089999999999	rating	-0.999	Fa3_1231.jpg	70.5	70
182.5061	3.0172	conj	-0.999	Fa3_1331.jpg	49.5	50
192.5155	3.04259999999999	rating	-0.999	Fa3_1331.jpg	49.5	50
201.0094	3.01730000000001	summ	-0.999	Fa2_2322.jpg	80.25	80
209.0103	3.0341	rating	-0.999	Fa2_2322.jpg	80.25	80
219.0124	3.0171	summ	-0.999	Fa2_2122.jpg	51	50
227.0139	3.03969999999998	rating	-0.999	Fa2_2122.jpg	51	50
238.0158	3.01719999999997	summ	-0.999	Fa2_2121.jpg	35.25	30
245.0134	3.0403	rating	-0.999	Fa2_2121.jpg	35.25	30
252.0196	3.0179	conj	-0.999	Fa3_1221.jpg	40.5	40
260.0141	3.03989999999999	rating	-0.999	Fa3_1221.jpg	40.5	40
268.5045	3.017	conj	-0.999	Fa3_1121.jpg	84	90
277.5138	3.04239999999999	rating	-0.999	Fa3_1121.jpg	84	90
285.0073	3.01920000000001	summ	-0.999	Fa2_2221.jpg	49.5	40
296.0135	3.04579999999999	rating	-0.999	Fa2_2221.jpg	49.5	40
307.011	3.0172	conj	-0.999	Fa3_1121.jpg	88.5	90
314.0136	3.0489	rating	-0.999	Fa3_1121.jpg	88.5	90
322.5138	3.01690000000002	summ	-0.999	Fa2_2121.jpg	33	30
333.0139	3.04090000000002	rating	-0.999	Fa2_2121.jpg	33	30
340.5168	3.01730000000003	conj	-0.999	Fa3_1111.jpg	30	30
350.0138	3.0412	rating	-0.999	Fa3_1111.jpg	30	30
359.0054	3.01679999999999	summ	-0.999	Fa2_2322.jpg	82.5	80
367.5136	3.04160000000002	rating	-0.999	Fa2_2322.jpg	82.5	80
377.5065	3.01729999999998	summ	-0.999	Fa2_2221.jpg	39.75	40
384.514	3.04399999999998	rating	-0.999	Fa2_2221.jpg	39.75	40
395.5097	3.01729999999998	conj	-0.999	Fa3_1331.jpg	51.75	50
406.0136	3.04820000000001	rating	-0.999	Fa3_1331.jpg	51.75	50
416.0133	3.01709999999997	conj	-0.999	Fa3_1231.jpg	69.75	70
427.0138	3.04219999999998	rating	-0.999	Fa3_1231.jpg	69.75	70
