onset	duration	bloc_type	bloc_typeCode
5.01184	11.25	Faces 	1
16.26317	11.25	Scenes 	2
27.51507	11.25	Scrambled 	4
38.76718	11.25	Objects 	3
50.01919	11.25	Faces 	1
61.26264	11.25	Objects 	3
72.51283	11.25	Scenes 	2
83.76305	11.25	Objects 	3
95.01318	11.25	Objects 	3
106.2633	11.25	Scrambled 	4
117.5144	11.25	Scrambled 	4
128.7663	11.25	Faces 	1
140.0184	11.25	Faces 	1
151.264	11.25	Scrambled 	4
162.5143	11.25	Scenes 	2
173.7644	11.25	Scenes 	2
185.0147	11.25	Baseline 	0
