onset	duration	bloc_type	bloc_typeCode
5.017676	11.25	Scrambled 	4
16.26222	11.25	Faces 	1
27.51254	11.25	Objects 	3
38.76262	11.25	Scenes 	2
50.01275	11.25	Faces 	1
61.26297	11.25	Scrambled 	4
72.51316	11.25	Objects 	3
83.76488	11.25	Objects 	3
95.01685	11.25	Faces 	1
106.2689	11.25	Faces 	1
117.5139	11.25	Scenes 	2
128.7639	11.25	Scrambled 	4
140.0142	11.25	Scenes 	2
151.2643	11.25	Scenes 	2
162.5146	11.25	Objects 	3
173.7648	11.25	Scrambled 	4
185.016	11.25	Baseline 	0
