onset	duration	trial_type	response_time	stim_file	value_rating	value_real
3.019089	3.017154	conj	-0.999	Fa3_1331.jpg	50.25	50
14.01389	3.04738	rating	-0.999	Fa3_1331.jpg	50.25	50
24.01203	3.0164	conj	-0.999	Fa3_1221.jpg	42.75	40
32.51561	3.04591	rating	-0.999	Fa3_1221.jpg	42.75	40
39.51185	3.01673	summ	-0.999	Fa2_2221.jpg	39.75	40
48.51379	3.04797	rating	-0.999	Fa2_2221.jpg	39.75	40
57.5121	3.01707	conj	-0.999	Fa3_1111.jpg	33	30
66.51383	3.03322	rating	-0.999	Fa3_1111.jpg	33	30
77.01538	3.01718000000001	conj	-0.999	Fa3_1231.jpg	72	70
85.01392	3.03649	rating	-0.999	Fa3_1231.jpg	72	70
92.518	3.01723	summ	-0.999	Fa2_2221.jpg	42	40
103.0137	3.0398	rating	-0.999	Fa2_2221.jpg	42	40
113.5129	3.0167	conj	-0.999	Fa3_1121.jpg	93.75	90
121.0135	3.04940000000001	rating	-0.999	Fa3_1121.jpg	93.75	90
130.0131	3.01679999999999	summ	-0.999	Fa2_2122.jpg	49.5	50
138.0142	3.0488	rating	-0.999	Fa2_2122.jpg	49.5	50
147.0134	3.01670000000001	summ	-0.999	Fa2_2121.jpg	32.25	30
155.0137	3.03319999999999	rating	-0.999	Fa2_2121.jpg	32.25	30
164.0138	3.0172	conj	-0.999	Fa3_1121.jpg	91.5	90
171.5137	3.035	rating	-0.999	Fa3_1121.jpg	91.5	90
182.5171	3.0172	conj	-0.999	Fa3_1331.jpg	42.75	50
189.5138	3.03799999999998	rating	-0.999	Fa3_1331.jpg	42.75	50
198.514	3.01679999999999	conj	-0.999	Fa3_1231.jpg	70.5	70
206.5136	3.0412	rating	-0.999	Fa3_1231.jpg	70.5	70
217.5143	3.01670000000001	conj	-0.999	Fa3_1311.jpg	79.5	80
226.0135	3.03400000000002	rating	-0.999	Fa3_1311.jpg	79.5	80
237.0145	3.01670000000001	summ	-0.999	Fa2_2223.jpg	70.5	70
245.5137	3.03399999999999	rating	-0.999	Fa2_2223.jpg	70.5	70
252.5148	3.01669999999999	conj	-0.999	Fa3_1221.jpg	39	40
260.0136	3.03440000000001	rating	-0.999	Fa3_1221.jpg	39	40
271.0158	3.01709999999997	summ	-0.999	Fa2_2323.jpg	91.5	90
281.0137	3.03740000000005	rating	-0.999	Fa2_2323.jpg	91.5	90
291.0153	3.01659999999998	summ	-0.999	Fa2_2121.jpg	33	30
298.0139	3.04020000000003	rating	-0.999	Fa2_2121.jpg	33	30
308.0155	3.01680000000005	summ	-0.999	Fa2_2322.jpg	78	80
319.0136	3.03520000000003	rating	-0.999	Fa2_2322.jpg	78	80
330.0176	3.01490000000001	summ	-0.999	Fa2_2122.jpg	51	50
339.5134	3.03550000000001	rating	-0.999	Fa2_2122.jpg	51	50
350.016	3.01679999999999	summ	-0.999	Fa2_2322.jpg	80.25	80
357.5137	3.03550000000001	rating	-0.999	Fa2_2322.jpg	80.25	80
366.0193	3.01350000000002	summ	-0.999	Fa2_2223.jpg	69	70
376.5139	3.03700000000003	rating	-0.999	Fa2_2223.jpg	69	70
383.5164	3.01670000000001	conj	-0.999	Fa3_1311.jpg	79.5	80
394.0137	3.0403	rating	-0.999	Fa3_1311.jpg	79.5	80
402.0165	3.01689999999996	summ	-0.999	Fa2_2323.jpg	89.25	90
410.0137	3.04310000000004	rating	-0.999	Fa2_2323.jpg	89.25	90
420.0176	3.01599999999996	conj	-0.999	Fa3_1111.jpg	30.75	30
427.0135	3.03659999999996	rating	-0.999	Fa3_1111.jpg	30.75	30
