onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	1101101111.jpg	2	4
14	5	1	1111110011.jpg	2	1
26	5	2	0101000011.jpg	6	7
38	5	2	0000001111.jpg	6	5
50	5	2	0010010011.jpg	6	8
62	5	1	0111011111.jpg	2	2
74	5	1	1010111111.jpg	2	3
86	5	2	1000100011.jpg	6	6
98	5	2	0000001111.jpg	6	5
110	5	1	1101101111.jpg	2	4
122	5	2	0101000011.jpg	6	7
134	5	1	1010111111.jpg	2	3
146	5	2	1000100011.jpg	6	6
158	5	2	0010010011.jpg	6	8
170	5	1	1111110011.jpg	2	1
182	5	1	0111011111.jpg	2	2
194	5	2	1000100011.jpg	6	6
206	5	2	0101000011.jpg	6	7
218	5	1	1010111111.jpg	2	3
230	5	2	0010010011.jpg	6	8
242	5	1	1111110011.jpg	2	1
254	5	1	0111011111.jpg	2	2
266	5	2	0000001111.jpg	6	5
278	5	1	1101101111.jpg	2	4
