onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.66309655399527	1010111111.jpg	1	1	2	1	1.25000002925441	0.00118085204295367
14	5	1	1.88285717499093	1101101111.jpg	1	1	2	1	1.25000002925441	1.10015492936576e-11
26	5	2	1.1977977490169	0000101011.jpg	2	1	6	0	0.136126844130816	5.01637452571851e-11
38	5	1	1.18622241500998	1111111111.jpg	1	1	0	0	1.24999978868322	1
50	5	1	0.892153036984382	1111111011.jpg	1	1	1	0	1.24999966839767	0.0921834348889587
62	5	2	2.07146645602188	0000000011.jpg	2	1	8	0	1.24999978868322	1
74	5	1	1.06756222000695	0111011111.jpg	1	1	2	1	1.25000002925441	3.06773093493651e-17
86	5	2	NaN	0101000011.jpg	NaN	0	6	1	1.25000002925441	0.00118085204295367
98	5	2	1.01047032600036	0001100011.jpg	2	1	6	0	0.136126844130816	3.61069044940161e-10
110	5	2	1.20538422800018	1000100011.jpg	1	0	6	1	1.25000002925441	3.06773093493651e-17
122	5	1	1.84863373902044	1101010111.jpg	2	0	3	0	0.0202148258426899	3.93057346886926e-14
134	5	1	1.80337417600094	1110101111.jpg	1	1	2	0	0.18562492569066	0.00849983322548715
146	5	2	1.48743499798002	0000010011.jpg	2	1	7	0	0.185624907828258	0.0921987673390039
158	5	1	1.65919771100744	0001111111.jpg	2	0	3	0	0.0202148297331738	3.93054987059842e-14
170	5	2	1.79830420500366	0000001111.jpg	2	1	6	1	1.25000002925441	0.00118069540439155
182	5	1	2.24081495599239	1111011111.jpg	1	1	1	0	0.136126831031538	3.91656165299011e-09
194	5	1	1.01153736500419	1111011011.jpg	1	1	2	0	0.136126817932263	3.61042106127007e-10
206	5	2	1.72777443600353	1010100011.jpg	1	0	5	0	0.185624907828258	1.28545972102474e-07
218	5	1	1.05139280000003	1111110011.jpg	1	1	2	1	1.25000002925441	0.00118069540439155
230	5	2	2.00670263500069	0010010011.jpg	2	1	6	1	1.25000002925441	1.10015492936576e-11
242	5	2	1.92072138199001	0000100011.jpg	2	1	7	0	0.136126831031538	3.91656165299011e-09
254	5	2	NaN	1100010011.jpg	NaN	0	5	0	0.0202148297331737	4.62506324570898e-12
