onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.28225496099913	0010001011.jpg	1	0	6	0	0.00223442622161373	7.19932230779612e-06
14	5	2	1.82232999298139	0000001011.jpg	2	1	7	0	0.0590750274380416	8.24503806531512e-05
26	5	2	0.968485493998742	0101000011.jpg	2	1	6	1	1.40000003226944	0.0294847232214356
38	5	1	1.32409682599246	0111011111.jpg	1	1	2	1	1.40000003226944	0.00170175193978015
50	5	2	1.07996208799887	0101100011.jpg	2	1	5	0	1.28021586700938	0.00157852642214782
62	5	1	1.77893840501201	1001101111.jpg	1	1	3	0	1.39999834610639	1.18717379454291e-09
74	5	2	1.22257279898622	0000000011.jpg	2	1	8	0	1.27907539346279	1
86	5	1	1.6015703669982	1111110011.jpg	1	1	2	1	1.40000003226944	1.18301703497519e-05
98	5	1	1.26081923599122	0110111111.jpg	1	1	2	0	1.27978916383593	0.000937213502971201
110	5	2	1.27253046698752	1000100011.jpg	2	1	6	1	1.40000003226944	0.00170175193978015
122	5	1	1.17994830801035	1010111111.jpg	1	1	2	1	1.40000003226944	0.0294847232214356
134	5	2	1.43029850401217	1001000011.jpg	2	1	6	0	1.27978916383593	0.000937213502971201
146	5	1	1.55477995701949	1101101111.jpg	1	1	2	1	1.40000003226944	1.18717379454291e-09
158	5	2	1.12520309898537	0001000011.jpg	2	1	7	0	1.39999834610639	0.029484725111802
170	5	1	1.44098919199314	1101111111.jpg	2	0	1	0	0.0579591506729065	1.18717379454292e-09
182	5	2	1.17975717797526	0000001111.jpg	2	1	6	1	1.40000003226944	1.18301703497519e-05
194	5	1	1.41489668100257	0011111011.jpg	1	1	3	0	0.0540205386360653	0.00456078666650383
206	5	1	1.41836261999561	1111001111.jpg	1	1	2	0	0.0529825168740509	0.0535370913638178
218	5	1	1.15706429502461	1110111111.jpg	1	1	1	0	1.39999834610639	0.029484725111802
230	5	1	1.10494571100571	1111111111.jpg	1	1	0	0	1.27907539346279	1
242	5	2	1.21210277499631	0100100111.jpg	2	1	5	0	0.0540025566880806	0.00768162504872909
254	5	2	1.32012099400163	0010010011.jpg	1	0	6	1	1.40000003226944	1.18717379454291e-09
