onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.63791490200674	1101101111.jpg	2	0	2	1	2.90998038302363	0.853968220955501
14	5	2	1.13573893901776	0100000011.jpg	2	1	7	0	2.90997557206383	1.05800862869191
26	5	1	1.41217516298639	1111111111.jpg	1	1	0	0	2.90997957472485	1.05800866752184
38	5	1	1.9668467049778	1100111011.jpg	2	0	3	0	0.444146097548051	0.715347411999091
50	5	1	1.01842895700247	1011111011.jpg	1	1	2	0	2.90997590363246	1.05800862104333
62	5	1	1.16643615899375	1111110011.jpg	1	1	2	1	2.90998038302363	1.05800865195739
74	5	2	1.817520445009	0011000011.jpg	1	0	6	0	0.444146046941265	0.715347407705007
86	5	1	1.39649015601026	1111110111.jpg	1	1	1	0	2.90998005137819	1.05800865960598
98	5	2	1.335491121019	0000001111.jpg	2	1	6	1	2.90998038302363	1.05800865195739
110	5	1	1.96270969498437	0111011111.jpg	1	1	2	1	2.90998038302363	0.993734728663362
122	5	2	1.06290817598347	0010010011.jpg	1	0	6	1	2.90998038302363	0.853968220955501
134	5	2	1.30527689101291	1000100011.jpg	1	0	6	1	2.90998038302363	0.993734728663362
146	5	1	2.77248596498976	0111101111.jpg	1	1	2	0	0.444144635260255	0.754734221103492
158	5	1	1.8880846129905	1111101111.jpg	1	1	1	0	0.444146657862569	0.75473426149423
170	5	1	1.08383802100434	1010111111.jpg	1	1	2	1	2.90998038302363	0.906232503193181
182	5	2	1.35184201598167	0010011011.jpg	1	0	5	0	2.90997990630883	0.853968226881054
194	5	2	2.45766164400266	0110000011.jpg	1	0	6	0	0.444146170304897	0.632065170618558
206	5	2	1.0054647839861	0101000111.jpg	2	1	5	0	2.90998005137819	0.906232496960515
218	5	1	1.61679453100078	1010101111.jpg	2	0	3	0	0.444146781231908	0.662741103930639
230	5	2	1.10878022899851	0010000011.jpg	1	0	7	0	0.444146781231908	0.632065153749514
242	5	2	1.23940977299935	0000000011.jpg	2	1	8	0	2.90997957472485	1.05800866752184
254	5	2	1.32252574100858	0101000011.jpg	2	1	6	1	2.90998038302363	0.906232503193181
