onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.50077730699559	1110111111.jpg	1	1	1	0	1.14040053740184	1.00338861715939
14	5	2	1.33780056700925	1000100011.jpg	2	1	6	1	1.38983873343034	0.468881182296482
26	5	1	1.30015386300511	1010111111.jpg	1	1	2	1	1.38983873343034	0.423609318617169
38	5	2	1.86227026599227	0111000011.jpg	1	0	5	0	0.245228369406353	0.182878064180822
50	5	2	1.04252530398662	0001000111.jpg	2	1	6	0	1.3898347110222	0.524414164478053
62	5	2	1.60578159001307	0000001011.jpg	2	1	7	0	1.14040082821391	0.682344139453879
74	5	1	1.88193996698828	1110001111.jpg	1	1	3	0	0.245228196969965	1.00338086990434
86	5	2	1.48381367698312	0000001111.jpg	2	1	6	1	1.38983873343034	0.360447925067581
98	5	1	1.12776675299392	1110110111.jpg	1	1	2	0	1.14040022558766	0.682336979141369
110	5	1	1.29873770702397	1101101111.jpg	1	1	2	1	1.38983873343034	0.117795995135395
122	5	1	2.18985211200197	1001111111.jpg	2	0	2	0	0.245228239819939	0.182876563749166
134	5	2	1.67394223200972	0010000111.jpg	1	0	6	0	0.245228302355273	0.156036707968925
146	5	2	1.47706147498684	1010100011.jpg	1	0	5	0	0.245228369406353	0.16904171423712
158	5	1	0.929139753017807	1111011111.jpg	1	1	1	0	1.1404009407579	1.00339312654251
170	5	2	1.17229343799409	0000000011.jpg	2	1	8	0	1.14040114002581	1.00339923131939
182	5	1	1.63909921902814	0111110011.jpg	2	0	3	0	1.1404009407579	0.182879159366265
194	5	2	1.34649389699916	0100000011.jpg	1	0	7	0	1.38983741789322	0.423613655964222
