onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.28005586398649	0100001011.jpg	2	1	6	0	1.3898347110222	0.2934626633156
14	5	2	1.53958319098456	0100100011.jpg	2	1	6	0	1.38983701847892	0.423611161321406
26	5	1	NaN	1101101111.jpg	NaN	0	2	1	1.38983873343034	0.117795995135395
38	5	2	1.52223596500698	1100001011.jpg	2	1	5	0	1.14040002631909	0.156038618305521
50	5	2	1.61341572800302	0010010011.jpg	2	1	6	1	1.38983873343034	0.117795995135395
62	5	2	1.20096842001658	0000000111.jpg	2	1	7	0	1.38983602655475	0.524419609917649
74	5	1	1.38767795398599	1111110111.jpg	1	1	1	0	1.14040082821391	0.682344139453879
86	5	2	1.39825472401571	1000100011.jpg	2	1	6	1	1.38983873343034	0.468881182296482
98	5	1	1.6259955179994	0010111111.jpg	1	1	3	0	1.1404009407579	0.209456740119034
110	5	1	1.10196352200001	1111111111.jpg	1	1	0	0	1.14040114002581	1.00339923131939
122	5	1	1.49618373101112	0110011111.jpg	1	1	3	0	1.38983741789322	0.468876345429891
134	5	1	1.91544101000181	1011101111.jpg	1	1	2	0	0.298866381894083	0.423612984747362
146	5	1	1.13472027200623	1011011111.jpg	1	1	2	0	1.38983701847892	0.423611161321406
158	5	2	1.54731008902309	0101001011.jpg	2	1	5	0	1.38983602655475	0.293459795155914
170	5	2	1.59033290701336	1000000011.jpg	2	1	7	0	1.38983833401552	0.468883964257539
182	5	1	1.09664508499554	1111111011.jpg	1	1	1	0	1.38983602655475	0.524419609917649
194	5	1	1.06775318799191	1111110011.jpg	1	1	2	1	1.38983873343034	0.360447925067581
