onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0101000011.jpg	6	7
14	5	1	1101101111.jpg	2	4
26	5	1	1010111111.jpg	2	3
38	5	2	1000100011.jpg	6	6
50	5	1	1111110011.jpg	2	1
62	5	2	0000001111.jpg	6	5
74	5	1	0111011111.jpg	2	2
86	5	2	0010010011.jpg	6	8
98	5	1	1111110011.jpg	2	1
110	5	1	0111011111.jpg	2	2
122	5	2	0010010011.jpg	6	8
134	5	1	1010111111.jpg	2	3
146	5	2	1000100011.jpg	6	6
158	5	2	0101000011.jpg	6	7
170	5	1	1101101111.jpg	2	4
182	5	2	0000001111.jpg	6	5
194	5	2	0101000011.jpg	6	7
206	5	2	0010010011.jpg	6	8
218	5	1	1010111111.jpg	2	3
230	5	1	0111011111.jpg	2	2
242	5	2	0000001111.jpg	6	5
254	5	1	1101101111.jpg	2	4
266	5	1	1111110011.jpg	2	1
278	5	2	1000100011.jpg	6	6
