onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.48058765300084	0001000011.jpg	2	1	7	0	1.14040053740184	1.00338861715939
14	5	2	1.33208344501327	0101000011.jpg	2	1	6	1	1.38983873343034	0.423609318617169
26	5	1	1.53463104501134	1101110111.jpg	2	0	2	0	0.298866082704922	0.133522917851522
38	5	2	0.977574399992591	0000000011.jpg	2	1	8	0	1.14040114002581	1.00339923131939
50	5	1	1.10130153098726	1010111111.jpg	1	1	2	1	1.38983873343034	0.423609318617169
62	5	2	1.09591573197395	1000000111.jpg	2	1	6	0	1.1404006289454	0.253222721329197
74	5	1	1.0922167400131	0101111011.jpg	2	0	3	0	0.298865996816266	0.293457701693256
86	5	2	1.0939200540015	0100010011.jpg	2	1	6	0	0.298866381894083	0.423612984747362
98	5	1	1.38617505898583	1101111111.jpg	2	0	1	0	0.298866664783154	0.117795967607022
110	5	2	1.62893223800347	0000111011.jpg	2	1	5	0	0.245228259505182	0.682338913099401
122	5	1	1.06518727799994	1111011011.jpg	1	1	2	0	1.38983562714125	0.524416477950998
134	5	2	0.93319272698136	0000010011.jpg	2	1	7	0	0.245228369406353	1.00339758874802
146	5	2	0.975335697003175	0000001111.jpg	2	1	6	1	1.38983873343034	0.360447925067581
158	5	1	1.81911744599347	0111111111.jpg	1	1	1	0	1.38983833401552	0.468883964257539
170	5	1	1.93392702899291	0111011111.jpg	1	1	2	1	1.38983873343034	0.468881182296482
182	5	1	1.63272563100327	0101110111.jpg	2	0	3	0	0.245228259505182	0.23093027978962
194	5	2	1.32528294701478	0110000111.jpg	1	0	5	0	0.298865799816832	0.323466921266064
