onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0000001111.jpg	6	5
14	5	1	0111011111.jpg	2	2
26	5	2	0010010011.jpg	6	8
38	5	2	0101000011.jpg	6	7
50	5	1	1101101111.jpg	2	4
62	5	1	1010111111.jpg	2	3
74	5	2	1000100011.jpg	6	6
86	5	1	1111110011.jpg	2	1
98	5	1	1010111111.jpg	2	3
110	5	1	1111110011.jpg	2	1
122	5	2	0010010011.jpg	6	8
134	5	2	0101000011.jpg	6	7
146	5	1	1101101111.jpg	2	4
158	5	1	0111011111.jpg	2	2
170	5	2	1000100011.jpg	6	6
182	5	2	0000001111.jpg	6	5
194	5	2	0010010011.jpg	6	8
206	5	1	1010111111.jpg	2	3
218	5	2	0101000011.jpg	6	7
230	5	2	0000001111.jpg	6	5
242	5	1	1101101111.jpg	2	4
254	5	2	1000100011.jpg	6	6
266	5	1	0111011111.jpg	2	2
278	5	1	1111110011.jpg	2	1
