onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.63288577197818	0111011111.jpg	1	1	2	1	1.38983873343034	0.468881182296482
14	5	1	1.31642180000199	1111110011.jpg	1	1	2	1	1.38983873343034	0.360447925067581
26	5	1	1.20073535200208	0111111011.jpg	1	1	2	0	1.1404006289454	0.253222721329197
38	5	2	1.17968183397898	0010000011.jpg	1	0	7	0	0.298866664783154	0.117795967607022
50	5	2	1.83001121800044	1000011011.jpg	2	1	5	0	0.298865996816266	0.323471982949083
62	5	2	2.15283895898028	0101000011.jpg	2	1	6	1	1.38983873343034	0.423609318617169
74	5	1	1.11693715999718	1011111011.jpg	1	1	2	0	1.14040022558766	0.230933952300487
86	5	2	1.66408432100434	0010010011.jpg	2	1	6	1	1.38983873343034	0.117795995135395
98	5	2	1.65952159598237	0100001111.jpg	2	1	5	0	1.14040053740184	0.169043219417908
110	5	1	1.04642352598603	1110110011.jpg	1	1	3	0	1.38983741789322	0.360444292595491
122	5	1	0.978571554005612	1111111111.jpg	1	1	0	0	1.14040114002581	1.00339923131939
134	5	2	1.51031332401908	0110000011.jpg	1	0	6	0	0.245228239819939	0.182876563749166
146	5	1	1.67324224198819	1011111111.jpg	1	1	1	0	1.38983741789322	0.423613655964222
158	5	1	0.939940871001454	1010011111.jpg	1	1	3	0	1.38983833401552	0.42360682400199
170	5	2	1.05516717099817	0011000011.jpg	1	0	6	0	0.298866381894083	0.11779614549954
182	5	2	1.21910669500357	0000100011.jpg	2	1	7	0	1.1404009407579	1.00339312654251
194	5	1	1.26241611401201	1111101111.jpg	1	1	1	0	0.245228369406353	1.00339758874802
