onset	duration	condition
8	10	sem
28.017	10	phono
46.033	10	sem
68.066	10	base
86.083	10	phono
109.099	10	sem
127.116	10	phono
148.132	10	base
167.148	10	phono
190.182	10	sem
207.198	10	base
227.214	10	sem
246.231	10	phono
265.247	10	base
286.264	10	sem
308.28	10	phono
327.297	10	base
