onset	duration
7.002	4
16.002	1.976
22.976	3.098
30.949	2.989
42.922	2.376
46.882	2.384
53.856	2.858
63.829	1.693
70.802	1.672
82.762	2.288
87.736	1.394
98.709	2.493
111.682	2.736
120.642	2.328
126.616	2.29
132.589	2.365
143.562	1.896
155.522	2.248
167.496	3.738
172.469	1.565
176.442	1.376
185.402	1.208
195.376	1.37
202.349	2.093
207.322	2.312
218.282	2.64
225.256	2.41
233.229	1.565
240.202	2.648
244.162	1.36
249.136	2.082
253.109	2.645
260.082	2.8
269.042	1.832
274.016	1.73
282.989	2.117
290.962	2.336
295.922	1.424
300.895	1.971
308.869	2.277
321.842	3.064
326.802	1.68
331.776	1.962
336.749	2.613
348.722	3.184
357.682	1.08
363.656	1.466
368.629	1.317
375.602	1.944
385.562	1.376
392.536	1.322
405.509	2.181
410.482	2.872
423.442	2.352
432.415	1.403
438.389	2.797
448.362	2.056
461.322	2.512
472.295	1.651
480.269	1.701
485.242	2.456
492.202	2.208
498.175	2.723
509.149	1.629
516.122	2.08
524.082	2.112
529.055	1.811
537.029	1.621
550.002	2.768
561.962	1.408
565.935	1.867
579.909	1.533
589.882	1.84
600.842	1.304
