onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	3.973	1	1	1	"Low"	"Non-Logic"	"Problem"
10.001	1.180	1	1	1	"Low"	"Non-Logic"	"Choice"
16.002	10.554	1	1	4	"High"	"Logic"	"Problem"
30.008	1.010	1	1	4	"High"	"Logic"	"Choice"
42.010	9.014	0	1	1	"Low"	"Logic"	"Problem"
59.995	1.992	0	1	1	"Low"	"Logic"	"Choice"
72.013	10.540	0	1	3	"High"	"Non-Logic"	"Problem"
92.004	1.894	0	1	3	"High"	"Non-Logic"	"Choice"
-402.318	18.103	0	2	3	"High"	"Logic"	"Problem"
-374.320	1.969	0	2	3	"High"	"Logic"	"Choice"
-362.319	9.275	0	2	4	"High"	"Non-Logic"	"Problem"
-350.318	1.969	0	2	4	"High"	"Non-Logic"	"Choice"
-344.334	7.100	1	2	2	"Low"	"Non-Logic"	"Problem"
-334.322	1.451	1	2	2	"Low"	"Non-Logic"	"Choice"
-322.321	13.596	0	2	2	"Low"	"Logic"	"Problem"
-300.324	1.985	0	2	2	"Low"	"Logic"	"Choice"
4.000	7.924	0	3	2	"Low"	"Logic"	"Problem"
14.012	0.889	0	3	2	"Low"	"Logic"	"Choice"
17.991	5.410	1	3	2	"Low"	"Non-Logic"	"Problem"
32.014	1.366	1	3	2	"Low"	"Non-Logic"	"Choice"
44.015	7.995	0	3	4	"High"	"Non-Logic"	"Problem"
56.017	1.631	0	3	4	"High"	"Non-Logic"	"Choice"
68.018	7.889	0	3	3	"High"	"Logic"	"Problem"
84.014	1.978	0	3	3	"High"	"Logic"	"Choice"
4.000	5.576	0	4	3	"High"	"Non-Logic"	"Problem"
17.990	1.983	0	4	3	"High"	"Non-Logic"	"Choice"
29.991	13.336	0	4	1	"Low"	"Logic"	"Problem"
45.988	1.048	0	4	1	"Low"	"Logic"	"Choice"
57.989	12.352	0	4	4	"High"	"Logic"	"Problem"
74.001	1.972	0	4	4	"High"	"Logic"	"Choice"
79.986	7.466	1	4	1	"Low"	"Non-Logic"	"Problem"
95.998	1.230	1	4	1	"Low"	"Non-Logic"	"Choice"
4.000	14.179	0	2	0	"Special"	"Xor"	"Problem"
28.002	1.972	0	2	0	"Special"	"Xor"	"Choice"
