onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	4
7.7	2.5	lure	low	1	40	new	4
12.2	2.5	lure	high	1	40	new	5
16.7	2.5	foil	n/a	1	0	new	2
21.2	2.5	lure	low	1	12	new	8
25.7	2.5	foil	n/a	1	0	new	4
30.2	2.5	lure	high	1	40	new	1
34.7	2.5	foil	n/a	1	0	new	4
39.2	2.5	lure	low	1	12	new	4
43.7	2.5	lure	low	1	4	new	8
48.2	2.5	foil	n/a	1	0	new	6
52.7	2.5	lure	high	1	12	new	4
57.2	2.5	foil	n/a	1	0	new	4
61.7	2.5	lure	low	2	4	similar	5
66.2	2.5	lure	high	1	40	new	4
70.7	2.5	repeat	n/a	1	40	new	4
75.2	2.5	lure	low	2	12	similar	5
79.7	2.5	repeat	n/a	1	4	new	2
84.2	2.5	repeat	n/a	1	40	new	4
88.7	2.5	repeat	n/a	1	12	new	2
93.2	2.5	lure	low	2	12	new	3
97.7	2.5	repeat	n/a	2	4	old	4
102.2	2.5	foil	n/a	1	0	new	4
106.7	2.5	lure	high	2	12	similar	4
111.2	2.5	foil	n/a	1	0	new	7
115.7	2.5	repeat	n/a	1	12	new	2
120.2	2.5	foil	n/a	1	0	new	5
124.7	2.5	repeat	n/a	1	12	new	3
129.2	2.5	foil	n/a	1	0	new	4
133.7	2.5	repeat	n/a	1	40	new	4
138.2	2.5	repeat	n/a	1	40	new	5
142.7	2.5	repeat	n/a	2	12	old	5
147.2	2.5	lure	low	1	4	new	2
151.7	2.5	repeat	n/a	1	40	new	2
156.2	2.5	foil	n/a	1	0	new	4
160.7	2.5	foil	n/a	1	0	new	3
165.2	2.5	lure	low	2	4	similar	4
169.7	2.5	repeat	n/a	2	12	old	3
174.2	2.5	foil	n/a	1	0	new	5
178.7	2.5	repeat	n/a	2	12	old	4
183.2	2.5	repeat	n/a	1	12	new	4
187.7	2.5	lure	low	2	40	new	3
192.2	2.5	lure	high	2	40	similar	7
196.7	2.5	foil	n/a	1	0	new	4
201.2	2.5	lure	high	1	4	new	5
205.7	2.5	foil	n/a	1	0	new	6
210.2	2.5	lure	high	2	40	new	3
214.7	2.5	foil	n/a	1	0	new	3
219.2	2.5	lure	high	2	4	similar	6
223.7	2.5	foil	n/a	1	0	new	4
228.2	2.5	foil	n/a	1	0	new	4
232.7	2.5	foil	n/a	1	0	new	6
237.2	2.5	repeat	n/a	2	12	old	3
241.7	2.5	repeat	n/a	1	40	new	4
246.2	2.5	lure	high	2	40	old	4
250.7	2.5	repeat	n/a	2	40	old	6
255.2	2.5	lure	low	1	4	new	3
259.7	2.5	repeat	n/a	1	4	new	3
264.2	2.5	repeat	n/a	2	40	old	7
268.7	2.5	foil	n/a	1	0	new	3
273.2	2.5	lure	low	2	4	similar	4
277.7	2.5	repeat	n/a	2	4	old	5
282.2	2.5	foil	n/a	1	0	new	4
286.7	2.5	lure	low	1	40	new	3
291.2	2.5	repeat	n/a	1	4	new	5
295.7	2.5	foil	n/a	1	0	new	5
300.2	2.5	foil	n/a	1	0	new	3
304.7	2.5	foil	n/a	1	0	new	3
309.2	2.5	repeat	n/a	2	4	old	5
313.7	2.5	repeat	n/a	2	40	old	3
318.2	2.5	repeat	n/a	2	40	old	6
322.7	2.5	lure	low	1	40	new	9
327.2	2.5	lure	high	1	4	new	3
331.7	2.5	repeat	n/a	2	40	old	4
336.2	2.5	foil	n/a	1	0	new	4
340.7	2.5	repeat	n/a	1	12	new	4
345.2	2.5	lure	high	2	4	similar	4
349.7	2.5	foil	n/a	1	0	new	3
354.2	2.5	repeat	n/a	1	12	new	6
358.7	2.5	repeat	n/a	1	4	new	6
363.2	2.5	foil	n/a	1	0	new	4
367.7	2.5	foil	n/a	1	0	new	4
372.2	2.5	foil	n/a	1	0	new	3
376.7	2.5	repeat	n/a	2	4	old	7
381.2	2.5	foil	n/a	1	0	new	2
385.7	2.5	foil	n/a	1	0	new	5
390.2	2.5	foil	n/a	1	0	new	3
394.7	2.5	repeat	n/a	2	12	old	4
399.2	2.5	lure	high	1	12	new	8
403.7	2.5	foil	n/a	1	0	new	3
408.2	2.5	repeat	n/a	2	12	old	6
412.7	2.5	foil	n/a	1	0	new	3
417.2	2.5	foil	n/a	1	0	new	3
421.7	2.5	repeat	n/a	2	40	similar	5
426.2	2.5	foil	n/a	1	0	new	3
430.7	2.5	repeat	n/a	1	4	new	4
435.2	2.5	foil	n/a	1	0	new	7
439.7	2.5	foil	n/a	1	0	new	3
444.2	2.5	foil	n/a	1	0	new	2
448.7	2.5	repeat	n/a	2	4	old	3
453.2	2.5	lure	high	2	12	similar	5
457.7	2.5	lure	high	1	12	new	2
462.2	2.5	lure	low	1	12	new	2
466.7	2.5	lure	low	2	40	similar	3
471.2	2.5	lure	high	1	4	new	4
475.7	2.5	repeat	n/a	1	4	new	4
480.2	2.5	foil	n/a	1	0	new	3
484.7	2.5	foil	n/a	1	0	new	3
489.2	2.5	lure	high	2	4	similar	4
493.7	2.5	repeat	n/a	2	4	old	3
498.2	2.5	foil	n/a	1	0	new	5
502.7	2.5	lure	low	2	40	similar	5
507.2	2.5	foil	n/a	1	0	new	3
511.7	2.5	lure	high	2	12	similar	3
516.2	2.5	lure	low	2	12	similar	6
520.7	2.5	foil	n/a	1	0	new	3
