onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	5
7.7	2.5	foil	n/a	1	0	new	5
12.2	2.5	lure	low	1	40	new	3
16.7	2.5	foil	n/a	1	0	new	5
21.2	2.5	foil	n/a	1	0	new	2
25.7	2.5	foil	n/a	1	0	new	4
30.2	2.5	foil	n/a	1	0	new	7
34.7	2.5	repeat	n/a	1	4	new	2
39.2	2.5	foil	n/a	1	0	new	5
43.7	2.5	lure	low	1	4	new	5
48.2	2.5	repeat	n/a	1	4	new	2
52.7	2.5	repeat	n/a	2	4	old	5
57.2	2.5	foil	n/a	1	0	new	5
61.7	2.5	lure	low	2	4	similar	8
66.2	2.5	repeat	n/a	2	4	old	5
70.7	2.5	foil	n/a	1	0	new	7
75.2	2.5	foil	n/a	1	0	new	4
79.7	2.5	foil	n/a	1	0	new	4
84.2	2.5	lure	low	1	12	new	2
88.7	2.5	foil	n/a	1	0	new	3
93.2	2.5	lure	high	1	4	new	5
97.7	2.5	foil	n/a	1	0	new	4
102.2	2.5	repeat	n/a	1	4	new	5
106.7	2.5	foil	n/a	1	0	new	3
111.2	2.5	lure	high	2	4	similar	5
115.7	2.5	foil	n/a	1	0	new	4
120.2	2.5	repeat	n/a	2	4	similar	5
124.7	2.5	foil	n/a	1	0	new	5
129.2	2.5	lure	high	1	4	new	3
133.7	2.5	repeat	n/a	1	12	new	5
138.2	2.5	lure	low	2	12	similar	3
142.7	2.5	foil	n/a	1	0	new	3
147.2	2.5	lure	high	2	4	old	6
151.7	2.5	foil	n/a	1	0	new	4
156.2	2.5	lure	low	1	12	new	3
160.7	2.5	lure	high	1	40	new	5
165.2	2.5	foil	n/a	1	0	new	2
169.7	2.5	repeat	n/a	1	40	new	1
174.2	2.5	foil	n/a	1	0	new	1
178.7	2.5	repeat	n/a	1	40	new	3
183.2	2.5	lure	high	1	12	new	4
187.7	2.5	repeat	n/a	2	12	old	3
192.2	2.5	lure	low	2	40	similar	2
196.7	2.5	repeat	n/a	1	40	new	5
201.2	2.5	foil	n/a	1	0	new	4
205.7	2.5	repeat	n/a	1	12	new	7
210.2	2.5	lure	low	2	12	similar	3
214.7	2.5	lure	low	1	4	new	4
219.2	2.5	foil	n/a	1	0	new	2
223.7	2.5	lure	high	1	40	new	3
228.2	2.5	foil	n/a	1	0	new	3
232.7	2.5	lure	low	2	4	similar	4
237.2	2.5	lure	high	2	12	old	5
241.7	2.5	lure	high	1	12	new	5
246.2	2.5	repeat	n/a	1	40	new	5
250.7	2.5	repeat	n/a	1	12	new	4
255.2	2.5	lure	high	1	40	new	7
259.7	2.5	repeat	n/a	2	12	old	6
264.2	2.5	foil	n/a	1	0	new	1
268.7	2.5	repeat	n/a	1	12	new	4
273.2	2.5	foil	n/a	1	0	new	2
277.7	2.5	repeat	n/a	1	12	new	4
282.2	2.5	lure	low	1	4	new	8
286.7	2.5	lure	low	1	40	new	2
291.2	2.5	foil	n/a	1	0	new	3
295.7	2.5	lure	high	2	12	similar	3
300.2	2.5	lure	low	2	4	similar	4
304.7	2.5	repeat	n/a	2	12	old	4
309.2	2.5	repeat	n/a	1	40	new	5
313.7	2.5	repeat	n/a	1	40	new	4
318.2	2.5	foil	n/a	1	0	new	4
322.7	2.5	repeat	n/a	2	12	old	3
327.2	2.5	lure	low	1	40	new	4
331.7	2.5	repeat	n/a	2	12	old	4
336.2	2.5	repeat	n/a	1	4	new	3
340.7	2.5	lure	high	2	40	similar	5
345.2	2.5	foil	n/a	1	0	new	4
349.7	2.5	repeat	n/a	2	40	old	4
354.2	2.5	repeat	n/a	2	4	old	3
358.7	2.5	repeat	n/a	2	40	old	5
363.2	2.5	repeat	n/a	1	12	new	5
367.7	2.5	foil	n/a	1	0	new	4
372.2	2.5	foil	n/a	1	0	new	4
376.7	2.5	repeat	n/a	2	40	old	6
381.2	2.5	foil	n/a	1	0	new	4
385.7	2.5	foil	n/a	1	0	new	4
390.2	2.5	repeat	n/a	1	4	new	2
394.7	2.5	lure	high	1	4	new	1
399.2	2.5	lure	low	1	12	new	3
403.7	2.5	lure	high	2	40	similar	5
408.2	2.5	repeat	n/a	2	4	old	3
412.7	2.5	lure	high	2	4	old	2
417.2	2.5	repeat	n/a	2	12	old	3
421.7	2.5	foil	n/a	1	0	new	4
426.2	2.5	repeat	n/a	2	40	old	3
430.7	2.5	foil	n/a	1	0	new	7
435.2	2.5	lure	high	2	40	similar	8
439.7	2.5	repeat	n/a	1	4	new	3
444.2	2.5	lure	high	1	12	new	6
448.7	2.5	foil	n/a	1	0	new	5
453.2	2.5	lure	low	2	12	similar	3
457.7	2.5	repeat	n/a	2	4	old	4
462.2	2.5	foil	n/a	1	0	new	5
466.7	2.5	lure	low	2	40	similar	6
471.2	2.5	foil	n/a	1	0	new	4
475.7	2.5	foil	n/a	1	0	new	4
480.2	2.5	foil	n/a	1	0	new	4
484.7	2.5	foil	n/a	1	0	new	3
489.2	2.5	repeat	n/a	2	40	old	5
493.7	2.5	repeat	n/a	2	40	old	4
498.2	2.5	lure	high	2	12	similar	6
502.7	2.5	foil	n/a	1	0	new	4
507.2	2.5	lure	low	2	40	similar	5
511.7	2.5	foil	n/a	1	0	new	3
516.2	2.5	foil	n/a	1	0	new	4
520.7	2.5	foil	n/a	1	0	new	4
